frequency	Y_real	Y_imag
8	4.0915282715227203e-07	2.9833622946246754e-07
25	6.443537970452978e-07	5.228314518076471e-07
42	7.989968320306735e-07	6.640724375407621e-07
59	9.217732704761923e-07	7.791142004804061e-07
76	1.0363653941089716e-06	8.805188082365832e-07
93	1.1218972246879653e-06	9.599363670479798e-07
127	1.2842892690323002e-06	1.1276159542361205e-06
161	1.4149835102501918e-06	1.252972030373166e-06
246	1.693311228287166e-06	1.5307906011138543e-06
314	1.8703793862089017e-06	1.7422677911246964e-06
399	2.0703451396807534e-06	1.97492797176206e-06
501	2.259683907618292e-06	2.2065784936479683e-06
637	2.4807412411401164e-06	2.5279151664264478e-06
788	2.687728096243648e-06	2.8581493887673744e-06
993	2.9365136365600333e-06	3.3138136736447626e-06
1252	3.239353298280618e-06	3.819178633209769e-06
1585	3.572035968622745e-06	4.450736893633035e-06
1995	3.931490436178554e-06	5.194448155284432e-06
2512	4.365320978796596e-06	6.095040512417192e-06
3162	4.856017555951836e-06	7.196175369574982e-06
3981	5.447570037629758e-06	8.490432193121032e-06
5012	6.183567214962647e-06	1.0071505281479095e-05
6310	7.075443779245531e-06	1.1926723872601255e-05
7943	8.216038831192206e-06	1.4157796058649225e-05
10000	9.659370939131233e-06	1.675857115270187e-05
12589	1.1506522896383319e-05	1.982261070921203e-05
15849	1.386518885989346e-05	2.3316876138393604e-05
19953	1.690690965799524e-05	2.7257114834164286e-05
25119	2.081367146033465e-05	3.160789937858002e-05
31623	2.577256028472432e-05	3.6186349628292737e-05
39811	3.1981916131749114e-05	4.0657146412544104e-05
50119	3.933157663668844e-05	4.457458934336402e-05
63096	4.7281348447331864e-05	4.7621592646842514e-05
79433	5.568032439911253e-05	4.98994012014065e-05
100000	6.44884706508381e-05	5.199116040443038e-05
