frequency	Y_real	Y_imag
8	4.721867518544408e-07	3.343466443629532e-07
25	7.401065259390442e-07	5.764206721406659e-07
42	9.16283946373268e-07	7.28102043600021e-07
59	1.0549238765037926e-06	8.431552540345842e-07
76	1.1815181899698092e-06	9.487554161753088e-07
93	1.2726644498117106e-06	1.0292627047966852e-06
127	1.4544340010909277e-06	1.192158006307426e-06
161	1.588617456193964e-06	1.321512513136232e-06
246	1.8935238371466681e-06	1.5964562246073793e-06
314	2.07708368572067e-06	1.795590424314402e-06
399	2.301262113069802e-06	2.0232911183484867e-06
501	2.490843454994313e-06	2.2547566759616014e-06
637	2.7170421245050408e-06	2.5569065103530075e-06
788	2.927821459682805e-06	2.887991677088079e-06
993	3.1861711051378624e-06	3.319739221169073e-06
1252	3.492043369699711e-06	3.8142086233874675e-06
1585	3.8247489625509716e-06	4.434668780405177e-06
1995	4.179344693500463e-06	5.170061015395848e-06
2512	4.611272085914487e-06	6.060497998108467e-06
3162	5.1007342394547605e-06	7.136880913739045e-06
3981	5.676706973072049e-06	8.424058773453934e-06
5012	6.402268631055485e-06	9.98063021057113e-06
6310	7.2850278257445125e-06	1.183688801762931e-05
7943	8.408458751626569e-06	1.4046929476183134e-05
10000	9.828024567244059e-06	1.6637243987011743e-05
12589	1.1653265715116116e-05	1.969239323303617e-05
15849	1.3984516020060678e-05	2.3179863225700853e-05
19953	1.698825505082377e-05	2.71080647326204e-05
25119	2.085138692091299e-05	3.1465074621145056e-05
31623	2.5781631182900314e-05	3.602798322372674e-05
39811	3.1966850265059246e-05	4.0510804755715724e-05
50119	3.9278604220766566e-05	4.44657782488222e-05
63096	4.720660113931559e-05	4.756416015864192e-05
79433	5.561120200874517e-05	4.981182858971997e-05
100000	6.445491208775775e-05	5.199472688186757e-05
