frequency	Y_real	Y_imag
8	2.0295433009974238e-07	1.4893094929302668e-07
25	3.1401315434016393e-07	2.748300488167994e-07
42	3.902156690295309e-07	3.6536677269473196e-07
59	4.516131932424874e-07	4.4376414194115656e-07
76	5.004605526642069e-07	5.089852537004248e-07
93	5.541759567773879e-07	5.714659953413035e-07
127	6.275871949781357e-07	6.818241743289306e-07
161	7.053380177976782e-07	7.860542415176464e-07
246	8.393701547534588e-07	1.0211663972339287e-06
314	9.346212199068881e-07	1.1997135317899999e-06
399	1.023470044002375e-06	1.4021818615559057e-06
501	1.1378094372539125e-06	1.640593166205538e-06
637	1.265998286253209e-06	1.945343738443488e-06
788	1.3992964416448915e-06	2.2649445627295005e-06
993	1.5554208842719437e-06	2.6808001950482366e-06
1252	1.7260804913472186e-06	3.2052004875525992e-06
1585	1.9425145295730645e-06	3.842869129482754e-06
1995	2.197959443215782e-06	4.611790627761359e-06
2512	2.5196643649675747e-06	5.536702335788602e-06
3162	2.9034274132125937e-06	6.668246541134523e-06
3981	3.3995754732568135e-06	8.018314752401246e-06
5012	4.033161933558174e-06	9.663421369702111e-06
6310	4.838688710428562e-06	1.1634249712796623e-05
7943	5.891610879344169e-06	1.3955203244426786e-05
10000	7.274290855946189e-06	1.6700738999961234e-05
12589	9.093245752880252e-06	1.9904368241658352e-05
15849	1.1463767312308291e-05	2.357781727828082e-05
19953	1.4552496903461507e-05	2.7723257371440602e-05
25119	1.8482443431244933e-05	3.225941619577552e-05
31623	2.3601680918211315e-05	3.706304588279501e-05
39811	3.007383969659251e-05	4.1753585974601644e-05
50119	3.758128664803054e-05	4.578073731836299e-05
63096	4.590802509642277e-05	4.891194483406126e-05
79433	5.4554802692287814e-05	5.14590328278071e-05
100000	6.37976493296371e-05	5.3333798940945105e-05
