frequency	Y_real	Y_imag
8	3.0570421352222056e-07	2.1500849900514308e-07
25	4.741368978291411e-07	3.787149084059712e-07
42	5.862036585867016e-07	4.912400675126486e-07
59	6.77359392417751e-07	5.804013307913683e-07
76	7.520454680670757e-07	6.562520334624025e-07
93	8.189329393204109e-07	7.255808031196879e-07
127	9.303056218206431e-07	8.429535487037229e-07
161	1.0254484494216603e-06	9.572603782432376e-07
246	1.2159048319819307e-06	1.2027828745318394e-06
314	1.339856685991805e-06	1.3764198945657998e-06
399	1.4689464626871493e-06	1.5826345292488455e-06
501	1.6036553402703191e-06	1.824414822596132e-06
637	1.7665975486572685e-06	2.1182666626732346e-06
788	1.922939486863931e-06	2.4418232310857817e-06
993	2.1094420242749868e-06	2.8410574444584794e-06
1252	2.310538067015772e-06	3.354730347743737e-06
1585	2.555694275598353e-06	3.983005477785326e-06
1995	2.833863943878962e-06	4.743015170966304e-06
2512	3.181868443565127e-06	5.655624037799058e-06
3162	3.588804724655412e-06	6.75900754333246e-06
3981	4.102332833704991e-06	8.093444742921685e-06
5012	4.751946682510301e-06	9.704175998149958e-06
6310	5.5724590095195745e-06	1.1655219536562128e-05
7943	6.638164320629183e-06	1.3941700823265944e-05
10000	8.017824811976397e-06	1.6643682085167474e-05
12589	9.833990127246143e-06	1.981241666646878e-05
15849	1.2196702766954475e-05	2.3434991439982266e-05
19953	1.524865632984548e-05	2.752512049078056e-05
25119	1.9139152837059443e-05	3.2020790839717025e-05
31623	2.421971764451392e-05	3.6748928416251546e-05
39811	3.0615573902452156e-05	4.139127912581942e-05
50119	3.8051505690504206e-05	4.541322361502953e-05
63096	4.6267761418630806e-05	4.853697928692788e-05
79433	5.47837868582115e-05	5.1027314041408944e-05
100000	6.402914162119834e-05	5.2992089985069394e-05
