frequency	Y_real	Y_imag
8	1.3446220928186537e-07	1.1922552524508224e-07
25	2.1511123762015217e-07	2.350552902421318e-07
42	2.721306141301303e-07	3.242960982995515e-07
59	3.1939121749333404e-07	4.057833927084857e-07
76	3.5771092035297943e-07	4.7572374271286144e-07
93	4.027756457807959e-07	5.468805915892139e-07
127	4.6831120660184573e-07	6.705176331293133e-07
161	5.35927557976367e-07	7.853159182113618e-07
246	6.638995574106744e-07	1.0514405067071128e-06
314	7.584469235783114e-07	1.2458953970710186e-06
399	8.481063724649969e-07	1.4774051510763219e-06
501	9.69436860212986e-07	1.7416864404409591e-06
637	1.1149935549531184e-06	2.075070533197293e-06
788	1.2617658946040758e-06	2.424772731494552e-06
993	1.43858918235577e-06	2.87884297311536e-06
1252	1.6392798087399592e-06	3.4293276849314232e-06
1585	1.8963729091189472e-06	4.104690648959807e-06
1995	2.196575921298602e-06	4.910342174858093e-06
2512	2.55787131392111e-06	5.8669953393826285e-06
3162	2.9942840177192303e-06	7.038759424821797e-06
3981	3.5657109040882127e-06	8.426361095411652e-06
5012	4.266887104030773e-06	1.0103951002130968e-05
6310	5.144478679612846e-06	1.207579200512049e-05
7943	6.2932736994017926e-06	1.4443431380262302e-05
10000	7.77081605362536e-06	1.7178036477454514e-05
12589	9.685854262979516e-06	2.0398633683664495e-05
15849	1.2171591752197022e-05	2.4034878824663602e-05
19953	1.537336439017799e-05	2.8140846214781083e-05
25119	1.9449142326518653e-05	3.2621626756449195e-05
31623	2.4677102848370433e-05	3.733379375268099e-05
39811	3.120328951490688e-05	4.180574225254041e-05
50119	3.8822128123398035e-05	4.56688244289423e-05
63096	4.7063990680403983e-05	4.861133746862609e-05
79433	5.554950796510192e-05	5.0745565924458327e-05
100000	6.456549175846884e-05	5.264898830505595e-05
