frequency	Y_real	Y_imag
8	2.565097931026193e-07	2.0158226629893794e-07
25	4.074798082008091e-07	3.696598971433278e-07
42	5.080214788965519e-07	4.834073297830785e-07
59	5.903417877899218e-07	5.85043767026105e-07
76	6.655366223504062e-07	6.702422279481527e-07
93	7.314513775625879e-07	7.466215493866473e-07
127	8.419989864419742e-07	8.967426312254264e-07
161	9.446902253564061e-07	1.016315329222306e-06
246	1.1438015916118709e-06	1.2920356836174102e-06
314	1.2846809486783684e-06	1.5016515382273349e-06
399	1.4215279151101886e-06	1.737149095285801e-06
501	1.5826097630989312e-06	1.9851551821423235e-06
637	1.7725107368654413e-06	2.321492195517095e-06
788	1.9531497811576557e-06	2.65920011270244e-06
993	2.166273986294067e-06	3.125182130770955e-06
1252	2.422280763483383e-06	3.6562530875182192e-06
1585	2.723594683370624e-06	4.311279968069523e-06
1995	3.0613289742696975e-06	5.085998996555239e-06
2512	3.464962786576906e-06	6.01478705550506e-06
3162	3.931887602429075e-06	7.157662499278959e-06
3981	4.525965497238379e-06	8.49410593845248e-06
5012	5.251117483144864e-06	1.0128487257319125e-05
6310	6.1401109382792206e-06	1.2030819945819124e-05
7943	7.293252681422482e-06	1.433124330933144e-05
10000	8.761636033870275e-06	1.699166294830368e-05
12589	1.0646399266307451e-05	2.0125593235420285e-05
15849	1.3075867161746833e-05	2.368010257963446e-05
19953	1.620083532769059e-05	2.7699711879620604e-05
25119	2.0199273780848284e-05	3.2099725997272e-05
31623	2.5282749743718423e-05	3.674947945211055e-05
39811	3.1632068125460884e-05	4.1220245408107364e-05
50119	3.911235313035741e-05	4.5098307324925444e-05
63096	4.720304267257141e-05	4.8076849721254864e-05
79433	5.56159721521321e-05	5.0346423308200804e-05
100000	6.451308628015785e-05	5.229112236341957e-05
