frequency	Y_real	Y_imag
8	4.4702599614418166e-07	3.2069361194958944e-07
25	7.022607656602187e-07	5.567689925127869e-07
42	8.700559326884214e-07	7.044656971927008e-07
59	1.0024498710287041e-06	8.20347453347763e-07
76	1.1249643705471851e-06	9.248056688064933e-07
93	1.2142409135374687e-06	1.0048915562350148e-06
127	1.388665065717249e-06	1.1718446845452663e-06
161	1.522692274093598e-06	1.2993721378996289e-06
246	1.8181663599022881e-06	1.5761531929701541e-06
314	2.0003648024678184e-06	1.7825112666423882e-06
399	2.215622614674743e-06	2.0129178991428365e-06
501	2.4069868685604184e-06	2.2433770557494716e-06
637	2.632210894355708e-06	2.555369877488478e-06
788	2.842672193763846e-06	2.885675787505946e-06
993	3.0982700509038583e-06	3.3304747255126767e-06
1252	3.4059736818032695e-06	3.829363649739954e-06
1585	3.7410359952568997e-06	4.454671334758347e-06
1995	4.100044864719373e-06	5.192722414890092e-06
2512	4.535326295485063e-06	6.0870530141228585e-06
3162	5.027545798656623e-06	7.174705202053261e-06
3981	5.612238404810701e-06	8.463149870670663e-06
5012	6.3448561618935695e-06	1.0029899416170505e-05
6310	7.233366491424915e-06	1.1882230046990945e-05
7943	8.365925650592779e-06	1.4099423292272112e-05
10000	9.797660240839134e-06	1.6691488976688695e-05
12589	1.1633008638775249e-05	1.974680673969074e-05
15849	1.3974917265651029e-05	2.3233936700094974e-05
19953	1.6994832850984454e-05	2.71630039196597e-05
25119	2.08768764192462e-05	3.1513002128773206e-05
31623	2.5814833143593727e-05	3.607925348353491e-05
39811	3.2004437185574594e-05	4.0554012443652735e-05
50119	3.932926288980462e-05	4.448976062142117e-05
63096	4.7259265882815875e-05	4.756365908317081e-05
79433	5.566064770190979e-05	4.982466964840736e-05
100000	6.447529342498004e-05	5.196808241388029e-05
