frequency	Y_real	Y_imag
8	2.879447161832182e-07	2.035053714411963e-07
25	4.4641877733415837e-07	3.6054729396106154e-07
42	5.521964424176785e-07	4.692489104098261e-07
59	6.382675090115676e-07	5.566168592535569e-07
76	7.084371619389228e-07	6.304551599266139e-07
93	7.73158968930221e-07	6.986212440710449e-07
127	8.77833215599978e-07	8.145753440326325e-07
161	9.701666805786362e-07	9.271063681717811e-07
246	1.1506231921716075e-06	1.1707331223642758e-06
314	1.2696880196626908e-06	1.3451220387984689e-06
399	1.3911767183879309e-06	1.5504854472525565e-06
501	1.5224901675234653e-06	1.7918084916939958e-06
637	1.6796516839261705e-06	2.08763399313202e-06
788	1.8320066090248891e-06	2.4103128453892713e-06
993	2.013031476928856e-06	2.8119495223631213e-06
1252	2.2083336392039556e-06	3.3276280151661347e-06
1585	2.448243302312039e-06	3.957481954562263e-06
1995	2.7222842624463203e-06	4.719148536684184e-06
2512	3.065519773302698e-06	5.6338762188863966e-06
3162	3.468011379737808e-06	6.742159053822027e-06
3981	3.978539603615931e-06	8.079405414753758e-06
5012	4.625051857692773e-06	9.696214833516999e-06
6310	5.442687673422441e-06	1.1651285188810836e-05
7943	6.505996188340441e-06	1.3943894296381518e-05
10000	7.885937123363548e-06	1.6653704760092622e-05
12589	9.702889275468364e-06	1.9828957356402284e-05
15849	1.206756595279204e-05	2.3460848249274067e-05
19953	1.5126162191337579e-05	2.7561212485551553e-05
25119	1.9022846352661713e-05	3.206435537264399e-05
31623	2.4111720693397078e-05	3.680563134912802e-05
39811	3.052168496530059e-05	4.145754502630694e-05
50119	3.796927672329425e-05	4.5480019525173814e-05
63096	4.6205365054599934e-05	4.860315109916875e-05
79433	5.473944801873411e-05	5.1109862369370915e-05
100000	6.399237267252739e-05	5.305429276745025e-05
