frequency	Y_real	Y_imag
8	2.391709745649387e-07	1.9015544418032664e-07
25	3.8032875551779145e-07	3.511838163533024e-07
42	4.7470675212741114e-07	4.616568476569312e-07
59	5.522309222706782e-07	5.609645969743012e-07
76	6.224418374847685e-07	6.441220171864949e-07
93	6.8573113716513e-07	7.200176075162885e-07
127	7.901273632900704e-07	8.669105758806137e-07
161	8.885330897233365e-07	9.859442281934148e-07
246	1.0779939318535585e-06	1.2608712455245455e-06
314	1.2133745287381325e-06	1.4689102547074027e-06
399	1.343292222984063e-06	1.7042546087909117e-06
501	1.499701302662236e-06	1.9546868450732088e-06
637	1.6846217517958e-06	2.2912642732106735e-06
788	1.8612758542742514e-06	2.6304352536563554e-06
993	2.0697878299951768e-06	3.095555431166159e-06
1252	2.318824008588079e-06	3.629489650934393e-06
1585	2.615023876958339e-06	4.287244061439301e-06
1995	2.9486266988842144e-06	5.0660622634118195e-06
2512	3.347221983428483e-06	5.99838873033646e-06
3162	3.8104468818216877e-06	7.145376223154752e-06
3981	4.40285520941873e-06	8.488077179042248e-06
5012	5.12534778374871e-06	1.0128321321919576e-05
6310	6.013135623758038e-06	1.203861764223138e-05
7943	7.166404000576853e-06	1.4347866342486623e-05
10000	8.636482721911768e-06	1.7017020893014135e-05
12589	1.0525191375231753e-05	2.016142061198434e-05
15849	1.2962732891116294e-05	2.3725332223822106e-05
19953	1.6097456191140834e-05	2.7756021573177133e-05
25119	2.010624847916978e-05	3.216507904819049e-05
31623	2.520714111207575e-05	3.682387022297369e-05
39811	3.1577441954348504e-05	4.1294933812623007e-05
50119	3.907524911462228e-05	4.5170344006965955e-05
63096	4.718567423998239e-05	4.814357452394337e-05
79433	5.560377596186733e-05	5.0402687765256126e-05
100000	6.451667543530273e-05	5.2336829867576785e-05
