frequency	Y_real	Y_imag
8	1.74972030854429e-07	1.470991994808802e-07
25	2.793262710824943e-07	2.8098540893047924e-07
42	3.5085670649802914e-07	3.788351413072176e-07
59	4.1013526045408923e-07	4.680380672833369e-07
76	4.611359753217633e-07	5.433088549292271e-07
93	5.138254554117429e-07	6.168015912951129e-07
127	5.948228342697265e-07	7.501346338868273e-07
161	6.754231126566556e-07	8.66932842895904e-07
246	8.279489554003886e-07	1.1374838531327793e-06
314	9.40046200386496e-07	1.3379337283579336e-06
399	1.0449687199650798e-06	1.5716364829893323e-06
501	1.181429035644298e-06	1.8310380726188524e-06
637	1.3444568192391119e-06	2.166517727709295e-06
788	1.5042076665954203e-06	2.511898886093861e-06
993	1.6942926877090075e-06	2.9712421918257384e-06
1252	1.9150221541382997e-06	3.5155339056462172e-06
1585	2.189198297249338e-06	4.183776741482696e-06
1995	2.5043097980432665e-06	4.978628431535537e-06
2512	2.881553651374689e-06	5.925056482124985e-06
3162	3.3293849804974192e-06	7.086996729768471e-06
3981	3.9115280523654035e-06	8.455594224675263e-06
5012	4.62205604685633e-06	1.011799232926702e-05
6310	5.504182043854596e-06	1.2062825494780197e-05
7943	6.6557762792942515e-06	1.4406600007558895e-05
10000	8.130859536138555e-06	1.7112660232396666e-05
12589	1.0034743968388565e-05	2.0300697115269297e-05
15849	1.2501879986470582e-05	2.390512189196813e-05
19953	1.5675234195011635e-05	2.798008909637351e-05
25119	1.9723546866710977e-05	3.24292328992888e-05
31623	2.489665169843899e-05	3.7121545847946425e-05
39811	3.135552932206917e-05	4.159341441097283e-05
50119	3.892391594683008e-05	4.546089435584636e-05
63096	4.711254234705199e-05	4.8416247856091295e-05
79433	5.556198813174433e-05	5.061357390671524e-05
100000	6.453810080952355e-05	5.252168239273147e-05
