frequency	Y_real	Y_imag
8	4.706389462909051e-07	3.269074025593883e-07
25	7.342784045049476e-07	5.596210082836481e-07
42	9.077055204480924e-07	7.087666632511973e-07
59	1.0451644423539634e-06	8.17133428231538e-07
76	1.1656694939990778e-06	9.173733868384895e-07
93	1.2538087471838824e-06	9.969428872765639e-07
127	1.4308364725704524e-06	1.1421208135871199e-06
161	1.5558104624598674e-06	1.2719629369983713e-06
246	1.8486731881500787e-06	1.5392757720718504e-06
314	2.0217785094406584e-06	1.7202464769357585e-06
399	2.2363130210887248e-06	1.9402667550406145e-06
501	2.4105872327471827e-06	2.178431146460417e-06
637	2.626776910994218e-06	2.4637013651074525e-06
788	2.8264618817344323e-06	2.7958114132199852e-06
993	3.073253002101808e-06	3.1987538736300757e-06
1252	3.351748027339186e-06	3.692198189315794e-06
1585	3.662058126748623e-06	4.308213582725698e-06
1995	3.993918566642536e-06	5.0475253443554514e-06
2512	4.402464604108131e-06	5.938625205881401e-06
3162	4.869584097304521e-06	7.004139117260826e-06
3981	5.422071349028437e-06	8.302496927866656e-06
5012	6.120727595273263e-06	9.85683417346139e-06
6310	6.982628427229331e-06	1.174279921133862e-05
7943	8.083287522727666e-06	1.396239924143492e-05
10000	9.477655156593928e-06	1.6575134141610878e-05
12589	1.128929926326758e-05	1.96584233288783e-05
15849	1.3619657149595593e-05	2.317464487181788e-05
19953	1.6613142252717582e-05	2.7139173991593267e-05
25119	2.045918249298892e-05	3.153664559764106e-05
31623	2.541972423719014e-05	3.612849443664885e-05
39811	3.164858591950252e-05	4.065135873989494e-05
50119	3.897304094903037e-05	4.464654611020817e-05
63096	4.6962020128885384e-05	4.777919440607685e-05
79433	5.537746683165979e-05	5.005044344503711e-05
100000	6.436410523084907e-05	5.22423116012582e-05
