frequency	Y_real	Y_imag
8	3.275305542987905e-07	2.475291047870035e-07
25	5.181936417579092e-07	4.4323295041392476e-07
42	6.439743916141911e-07	5.700207812322194e-07
59	7.454737604925292e-07	6.795227811099485e-07
76	8.400964236889005e-07	7.727159353438354e-07
93	9.158999893071635e-07	8.50674546147661e-07
127	1.0510729448888572e-06	1.0117486831513848e-06
161	1.1690776565021938e-06	1.133638446848069e-06
246	1.4064229659003225e-06	1.4113479103039286e-06
314	1.5668115071937985e-06	1.6249136748541528e-06
399	1.7327201793682448e-06	1.8600165568078444e-06
501	1.9099839276084235e-06	2.0989145639680815e-06
637	2.1170234643506003e-06	2.4315099091165972e-06
788	2.3118622938823857e-06	2.764425329271973e-06
993	2.542686799642864e-06	3.230185923701426e-06
1252	2.824129435201774e-06	3.7493704020103415e-06
1585	3.143198757834482e-06	4.3934847883218e-06
1995	3.4944621406481115e-06	5.152527638272421e-06
2512	3.915578468014142e-06	6.06761889993616e-06
3162	4.39576157964358e-06	7.19264664105119e-06
3981	4.992549349045712e-06	8.506478736885859e-06
5012	5.725928535149314e-06	1.011663538158765e-05
6310	6.618273281083561e-06	1.199173584420191e-05
7943	7.768348032721841e-06	1.4257909738678254e-05
10000	9.227753568309608e-06	1.688677112183003e-05
12589	1.109605445016621e-05	1.9982990126528563e-05
15849	1.3492316459710236e-05	2.3504475963997182e-05
19953	1.6578516885790303e-05	2.7482608693667717e-05
25119	2.0534848062640024e-05	3.185272132388091e-05
31623	2.555402029390105e-05	3.6466779262232114e-05
39811	3.182833960820173e-05	4.0936477767123385e-05
50119	3.9242566119305305e-05	4.482861620864322e-05
63096	4.72593706001696e-05	4.7833306286159115e-05
79433	5.5660224991504505e-05	5.0123720900436596e-05
100000	6.450217083969089e-05	5.212512425595917e-05
