frequency	Y_real	Y_imag
8	3.9051154101175496e-07	2.708161181655938e-07
25	6.069765353320731e-07	4.676033312184195e-07
42	7.49730405893673e-07	5.985623230893871e-07
59	8.648656186472947e-07	6.964019373884043e-07
76	9.617007528569392e-07	7.830703594358575e-07
93	1.038881098265013e-06	8.577934471626959e-07
127	1.1829847986473893e-06	9.844070473248254e-07
161	1.2915734409470263e-06	1.1071263436761857e-06
246	1.5316225895089613e-06	1.3624066069040244e-06
314	1.6791166170144114e-06	1.5346491201038492e-06
399	1.8481802379485519e-06	1.7461256643881544e-06
501	1.9998429023741957e-06	1.988675451774916e-06
637	2.189522150197617e-06	2.2741131015436367e-06
788	2.36575024144061e-06	2.6023460029508985e-06
993	2.580232868048062e-06	2.994802112862197e-06
1252	2.8133966837040148e-06	3.4983063283887607e-06
1585	3.086435848770097e-06	4.119379835119389e-06
1995	3.386774292970159e-06	4.870446294321493e-06
2512	3.7601869709016403e-06	5.7725877567629874e-06
3162	4.191902935278345e-06	6.853566123411279e-06
3981	4.721027546497028e-06	8.172916076484583e-06
5012	5.388903995790809e-06	9.754303680415116e-06
6310	6.22567988850886e-06	1.1680881266995788e-05
7943	7.304750658710409e-06	1.3936267467993576e-05
10000	8.685856972871176e-06	1.6597986385123307e-05
12589	1.0497806730748396e-05	1.9731049785331783e-05
15849	1.2847331959841859e-05	2.3305538695674502e-05
19953	1.5867423642873625e-05	2.734114550127009e-05
25119	1.973120640531079e-05	3.1796279478064245e-05
31623	2.4762285128286593e-05	3.645987864133446e-05
39811	3.1084124690196674e-05	4.1050072346167524e-05
50119	3.846534653037129e-05	4.506716194422651e-05
63096	4.6579532211113636e-05	4.819871926855419e-05
79433	5.5030868429297935e-05	5.058836133379977e-05
100000	6.419544198987493e-05	5.266564983422078e-05
