frequency	Y_real	Y_imag
8	1.6064232492080147e-07	1.3731075363027034e-07
25	2.566623152713236e-07	2.6490015262045583e-07
42	3.230752253010961e-07	3.5978065418260463e-07
59	3.781558218630326e-07	4.4638389365125996e-07
76	4.247157226213936e-07	5.198085389913652e-07
93	4.748091171324385e-07	5.92573154812307e-07
127	5.504145949312554e-07	7.22566899447182e-07
161	6.265926584452717e-07	8.387427348894674e-07
246	7.705676307209664e-07	1.1079145203689995e-06
314	8.767461105432575e-07	1.306336656271806e-06
399	9.762312474370874e-07	1.5393883986230868e-06
501	1.1075999224472644e-06	1.8006460552940653e-06
637	1.2648388749451447e-06	2.1354934351437022e-06
788	1.420250942641965e-06	2.4823883424710215e-06
993	1.6058351999214357e-06	2.939973223929393e-06
1252	1.819684782143381e-06	3.486496324210693e-06
1585	2.088157236050974e-06	4.157198556899491e-06
1995	2.398338972064801e-06	4.955809233396423e-06
2512	2.7701869333734734e-06	5.905692337253303e-06
3162	3.214158586266077e-06	7.071020876744823e-06
3981	3.7929618375948364e-06	8.446062962488317e-06
5012	4.500350595354954e-06	1.0113651007400327e-05
6310	5.380955059643525e-06	1.2067476987741605e-05
7943	6.531709018528236e-06	1.4419455920180327e-05
10000	8.007695248854452e-06	1.7135014504761634e-05
12589	9.915285087977555e-06	2.033402720676446e-05
15849	1.2388978854767553e-05	2.3949016039582627e-05
19953	1.5571859652730976e-05	2.8034641146857132e-05
25119	1.9629516599524214e-05	3.249433239462e-05
31623	2.4820930246409274e-05	3.719389174837024e-05
39811	3.1302391361055006e-05	4.1665838162509784e-05
50119	3.888800423122892e-05	4.553183082817397e-05
63096	4.709512388498693e-05	4.848301839663347e-05
79433	5.55553216046191e-05	5.066059792518769e-05
100000	6.454589013620934e-05	5.256594340302601e-05
