frequency	Y_real	Y_imag
8	1.900626146643268e-07	1.5733233559946705e-07
25	3.0314185336680804e-07	2.977512832475892e-07
42	3.800509613796944e-07	3.98656894359537e-07
59	4.436960900139509e-07	4.904553088188197e-07
76	4.993154054594861e-07	5.676322449316187e-07
93	5.546374600581234e-07	6.41801028707799e-07
127	6.412372324149164e-07	7.785343204524966e-07
161	7.263090407529185e-07	8.959207878894503e-07
246	8.877059784424619e-07	1.1677420222618177e-06
314	1.0057284058049945e-06	1.3702047401764237e-06
399	1.1164315628718529e-06	1.6044666351110647e-06
501	1.2579821774291868e-06	1.8618218175904234e-06
637	1.426711133707235e-06	2.1978224596539257e-06
788	1.590780575427971e-06	2.541649940420012e-06
993	1.7854274348848956e-06	3.0026814956269424e-06
1252	2.013171553221859e-06	3.544584112292053e-06
1585	2.293010352641655e-06	4.21029107091979e-06
1995	2.61296836229773e-06	5.001257488521761e-06
2512	2.995630272770728e-06	5.944191743614745e-06
3162	3.4473408455814024e-06	7.102613474905993e-06
3981	4.032543875828168e-06	8.464704959797496e-06
5012	4.746187930508237e-06	1.0121774736352837e-05
6310	5.629817140169204e-06	1.205769167625028e-05
7943	6.782106977112064e-06	1.439305384255934e-05
10000	8.256173624953236e-06	1.708969010312109e-05
12589	1.0156324251496136e-05	2.0266697507487788e-05
15849	1.2616555233296593e-05	2.3860684893558224e-05
19953	1.578033314701842e-05	2.7924761117331675e-05
25119	1.981907537700154e-05	3.236345734433579e-05
31623	2.497391499268053e-05	3.704799949820925e-05
39811	3.1410233285479285e-05	4.151973542844512e-05
50119	3.8961138875353303e-05	4.538887155271491e-05
63096	4.713070137927394e-05	4.834836872812729e-05
79433	5.557057158137296e-05	5.056387632721517e-05
100000	6.453143917919908e-05	5.2476187872656116e-05
