frequency	Y_real	Y_imag
8	2.919564876954739e-07	2.2468907274855783e-07
25	4.628363164279923e-07	4.068115906972446e-07
42	5.75977614158295e-07	5.27131596354651e-07
59	6.679574867153836e-07	6.330281725157448e-07
76	7.530545025594759e-07	7.222925014698071e-07
93	8.240706010047765e-07	7.99523619044884e-07
127	9.470170471348057e-07	9.555973884296738e-07
161	1.057804573289315e-06	1.0762846105743905e-06
246	1.276257878468786e-06	1.3532293792811033e-06
314	1.4274588559126698e-06	1.565355748392197e-06
399	1.5786873800071028e-06	1.8008522764824192e-06
501	1.748442334575689e-06	2.0440967858348443e-06
637	1.9475114673254815e-06	2.3791516204510966e-06
788	2.1356471236965866e-06	2.714213776190128e-06
993	2.357830978789166e-06	3.1808886427186456e-06
1252	2.6271824709381527e-06	3.7060512570967833e-06
1585	2.9379889540817963e-06	4.355595609046747e-06
1995	3.2831490976542784e-06	5.122257777345549e-06
2512	3.69615205948555e-06	6.044064757989687e-06
3162	4.170080037497346e-06	7.178269620004822e-06
3981	4.766316993821456e-06	8.502825767066187e-06
5012	5.496136155264926e-06	1.0125186097409732e-05
6310	6.3871370716044695e-06	1.2012869024036444e-05
7943	7.53927327759254e-06	1.4295820293368004e-05
10000	9.003611603760827e-06	1.6939671980449304e-05
12589	1.0880273577852474e-05	2.005375644085236e-05
15849	1.3293165966735172e-05	2.3590715906722456e-05
19953	1.6398629617546912e-05	2.7588817667098645e-05
25119	2.037606010316599e-05	3.197249950397824e-05
31623	2.5426097431252302e-05	3.6604089757943446e-05
39811	3.1735874246515066e-05	4.10742603381324e-05
50119	3.9182037758564814e-05	4.4958650881422346e-05
63096	4.7234395158826934e-05	4.794924949911169e-05
79433	5.5639721174087056e-05	5.023338657774701e-05
100000	6.450716143262023e-05	5.2203739382911764e-05
