frequency	Y_real	Y_imag
8	2.1904322623118182e-07	1.5922122845901406e-07
25	3.390599269790882e-07	2.909437815596785e-07
42	4.2080276543952337e-07	3.849024153080742e-07
59	4.869171169589524e-07	4.650741521314913e-07
76	5.397725957267582e-07	5.31803624765407e-07
93	5.95696924818547e-07	5.953739602891241e-07
127	6.749156980346391e-07	7.067005320691018e-07
161	7.556457015904466e-07	8.124617111074428e-07
246	8.982959089497427e-07	1.0491181834977335e-06
314	9.981408087119884e-07	1.2268939038195707e-06
399	1.092675880410279e-06	1.4297494034823806e-06
501	1.2104051283747505e-06	1.6687705665571465e-06
637	1.3442613554608536e-06	1.9719784512727474e-06
788	1.4812160581953888e-06	2.2919766043530023e-06
993	1.6419083242748842e-06	2.704888507877384e-06
1252	1.8168884073172427e-06	3.2277725109852724e-06
1585	2.037612853247423e-06	3.863922874877142e-06
1995	2.2964894412178286e-06	4.631541021471751e-06
2512	2.6221652702863294e-06	5.55449042288278e-06
3162	3.0091894771914495e-06	6.681727864963455e-06
3981	3.5081242717660185e-06	8.029382339771506e-06
5012	4.143986047055504e-06	9.669273253694701e-06
6310	4.951621295630573e-06	1.1637497532175209e-05
7943	6.0063995908434595e-06	1.3953161195690019e-05
10000	7.388450329075595e-06	1.669211341595352e-05
12589	9.207339848029874e-06	1.989065142727227e-05
15849	1.1577185337764612e-05	2.3556623481353767e-05
19953	1.4660544625024187e-05	2.7693971084694428e-05
25119	1.8583626206888005e-05	3.222414671200461e-05
31623	2.369834690288601e-05	3.701597831658033e-05
39811	3.015942114579835e-05	4.1700215100286247e-05
50119	3.765479648650481e-05	4.572593388775186e-05
63096	4.5964817142995523e-05	4.885374720466464e-05
79433	5.458658488086287e-05	5.1399389010255676e-05
100000	6.383757416328605e-05	5.328273473778442e-05
