frequency	Y_real	Y_imag
8	3.58005524127715e-07	2.4921304867528917e-07
25	5.55945086436121e-07	4.3302066107568315e-07
42	6.867953381948355e-07	5.56872724789277e-07
59	7.927966479093463e-07	6.513168564517854e-07
76	8.809917637450306e-07	7.335761530731832e-07
93	9.541963618444297e-07	8.062657329181841e-07
127	1.0856020844575492e-06	9.287253679054576e-07
161	1.1889370911558218e-06	1.0482562736698147e-06
246	1.4095630368556619e-06	1.2996333142231588e-06
314	1.547932085944474e-06	1.4718280228712723e-06
399	1.700934392206264e-06	1.681032992749808e-06
501	1.8458258828718803e-06	1.923633923177733e-06
637	2.025377272304586e-06	2.211954456757673e-06
788	2.193743378403431e-06	2.5383450752821382e-06
993	2.3970886678238454e-06	2.932278989396172e-06
1252	2.6169433139595784e-06	3.4397794014519266e-06
1585	2.87861196919407e-06	4.063528804793698e-06
1995	3.1698385316727854e-06	4.818264275478402e-06
2512	3.5328596954283332e-06	5.724509211937327e-06
3162	3.954254935318625e-06	6.813781841117709e-06
3981	4.477023729492746e-06	8.139339565744148e-06
5012	5.137060940205794e-06	9.731999105582465e-06
6310	5.9670029681449896e-06	1.1669169692259088e-05
7943	7.040471316829403e-06	1.3936919968385132e-05
10000	8.420324290417762e-06	1.6614753089871257e-05
12589	1.0233878309269405e-05	1.9762560799569195e-05
15849	1.2589227496990616e-05	2.3356299349446528e-05
19953	1.5621460794908047e-05	2.741412198040992e-05
25119	1.949492626123372e-05	3.1885964395789745e-05
31623	2.4547029113578167e-05	3.657481388657888e-05
39811	3.0898748004721484e-05	4.118634572813937e-05
50119	3.830096830736933e-05	4.52060761941396e-05
63096	4.645602997464289e-05	4.833408298947022e-05
79433	5.4928300606652146e-05	5.076594518026418e-05
100000	6.413288634134773e-05	5.279782456406585e-05
