frequency	Y_real	Y_imag
8	4.772938783091077e-07	3.3671448336486226e-07
25	7.475767758144526e-07	5.794474829022677e-07
42	9.253225895919718e-07	7.31817645560839e-07
59	1.065188098941148e-06	8.462744588284912e-07
76	1.1922366033172305e-06	9.517908591674981e-07
93	1.2835721358951532e-06	1.0323559387724065e-06
127	1.466594993276321e-06	1.1932748430864208e-06
161	1.600192235186157e-06	1.3230842834536176e-06
246	1.9063325323592738e-06	1.5972320109466809e-06
314	2.0895281075550824e-06	1.793685912384156e-06
399	2.3150069616866862e-06	2.0203971104516863e-06
501	2.5032372566991457e-06	2.252579682875758e-06
637	2.729056745382955e-06	2.5515921680926614e-06
788	2.93923694944598e-06	2.8829844192050054e-06
993	3.1974927640905697e-06	3.3101937229421166e-06
1252	3.501294551079517e-06	3.80370668093032e-06
1585	3.832173918220546e-06	4.422916526219395e-06
1995	4.184484857457972e-06	5.158069945817696e-06
2512	4.614289747888937e-06	6.047775734196765e-06
3162	5.101857255436814e-06	7.121128587851368e-06
3981	5.674646233772759e-06	8.408812390403306e-06
5012	6.397127187811062e-06	9.963129326648206e-06
6310	7.277474324742269e-06	1.1822077262222544e-05
7943	8.397714946085554e-06	1.4031298657626153e-05
10000	9.813262929361738e-06	1.6622615191226704e-05
12589	1.1635642853227044e-05	1.9679536501197213e-05
15849	1.396478804105421e-05	2.3168787560214393e-05
19953	1.6964614141628254e-05	2.709902348630264e-05
25119	2.0822921486293566e-05	3.1459962992773026e-05
31623	2.57535696860983e-05	3.6023864174905596e-05
39811	3.1940653426878214e-05	4.051048648845874e-05
50119	3.925067324528613e-05	4.4471848280740554e-05
63096	4.7181996415232667e-05	4.757734384273882e-05
79433	5.558778184574876e-05	4.982280466765832e-05
100000	6.44460195818706e-05	5.201482889907662e-05
