frequency	Y_real	Y_imag
8	3.74599314858433e-07	2.6019953300859793e-07
25	5.819734770105226e-07	4.505749864417943e-07
42	7.188755473976266e-07	5.78046866223616e-07
59	8.295480856489111e-07	6.742042571034358e-07
76	9.221227751530875e-07	7.586674163008208e-07
93	9.97345204373194e-07	8.324010046587173e-07
127	1.1352069051244604e-06	9.568595696999595e-07
161	1.2411910081399488e-06	1.078027575116627e-06
246	1.4716555744252614e-06	1.3313657681955602e-06
314	1.6146539457198534e-06	1.5034637290428411e-06
399	1.775733705257926e-06	1.7137829733473057e-06
501	1.9240134367870712e-06	1.956424910410785e-06
637	2.108744456198811e-06	2.243193434172599e-06
788	2.281071781209702e-06	2.570523391374935e-06
993	2.4900259054176276e-06	2.9634874785280435e-06
1252	2.7164828661007106e-06	3.468961569677265e-06
1585	2.983821827323314e-06	4.091325281191683e-06
1995	3.279576382188604e-06	4.8442342203002556e-06
2512	3.6477714489536865e-06	5.7484029380940835e-06
3162	4.0742796797215245e-06	6.833375124782438e-06
3981	4.6002066527523105e-06	8.155849758618237e-06
5012	5.2640810340108985e-06	9.742754195973614e-06
6310	6.097394758405186e-06	1.1674744818513825e-05
7943	7.173624317572597e-06	1.3936268406645808e-05
10000	8.553977542554407e-06	1.6606012215487414e-05
12589	1.0366690516264751e-05	1.9746498051495625e-05
15849	1.2719191104381304e-05	2.3330559907110268e-05
19953	1.574520385361282e-05	2.737729128634016e-05
25119	1.9613619740317137e-05	3.184084825180423e-05
31623	2.4655336834400284e-05	3.651690767588084e-05
39811	3.0992102405730425e-05	4.111777674215304e-05
50119	3.83836464603378e-05	4.513635027223649e-05
63096	4.6518178519511705e-05	4.826615235012238e-05
79433	5.4979209997875815e-05	5.067693540218794e-05
100000	6.416488358764198e-05	5.273172655744318e-05
