frequency	Y_real	Y_imag
8	4.2299172990446065e-07	3.066420263530726e-07
25	6.655836545656748e-07	5.355648843839553e-07
42	8.25067117290357e-07	6.79194514051508e-07
59	9.513779269235968e-07	7.947166305397996e-07
76	1.0690076618715162e-06	8.973305278181371e-07
93	1.1559852917292045e-06	9.769908233124973e-07
127	1.3228421431309472e-06	1.1448250326088007e-06
161	1.455014445491137e-06	1.270917956738519e-06
246	1.7398227198727505e-06	1.5484788785695766e-06
314	1.91902156826296e-06	1.7585403292001777e-06
399	2.1246775638475587e-06	1.990505546643629e-06
501	2.315135331419317e-06	2.221489518874696e-06
637	2.5379370852555643e-06	2.5398533571793293e-06
788	2.7464241799692795e-06	2.869995667515131e-06
993	2.997882610391282e-06	3.322374418755161e-06
1252	3.303075264591046e-06	3.825381544310491e-06
1585	3.63706793831876e-06	4.45472118861247e-06
1995	3.996828132586317e-06	5.196217789643963e-06
2512	4.431682999919314e-06	6.094480019974788e-06
3162	4.923340200406705e-06	7.190959557254993e-06
3981	5.5128631736809996e-06	8.482762628144916e-06
5012	6.2481581309084734e-06	1.0058685228535167e-05
6310	7.1391805991284905e-06	1.1912164694893091e-05
7943	8.277260652071757e-06	1.4137912535658068e-05
10000	9.716837653314562e-06	1.673503638102937e-05
12589	1.1559916658826548e-05	1.979521593233955e-05
15849	1.3912385136125333e-05	2.3286294583623235e-05
19953	1.6946310365659957e-05	2.7221711670038868e-05
25119	2.0844275044368607e-05	3.157133082992102e-05
31623	2.5794758779242872e-05	3.614481330808006e-05
39811	3.199584077754544e-05	4.061655754219831e-05
50119	3.933596294203623e-05	4.453992020175865e-05
63096	4.727723537663898e-05	4.759597194130213e-05
79433	5.567684782846514e-05	4.986832888250337e-05
100000	6.448471673744986e-05	5.197815334972917e-05
