frequency	Y_real	Y_imag
8	1.8751999406973856e-07	1.3906603430097513e-07
25	2.8998483819755533e-07	2.593972227679319e-07
42	3.6089268494672305e-07	3.466589179675233e-07
59	4.177423269128034e-07	4.2330467497453623e-07
76	4.627547092982827e-07	4.871307696669503e-07
93	5.142663288476344e-07	5.485609890235687e-07
127	5.821631710509184e-07	6.579983787859593e-07
161	6.569117459654106e-07	7.607848096859279e-07
246	7.827473805609906e-07	9.944452818705195e-07
314	8.735350672006052e-07	1.1736749009634082e-06
399	9.57159382191075e-07	1.3758535327328282e-06
501	1.0681199556188421e-06	1.6136708951797187e-06
637	1.1907818420639301e-06	1.9197922764022332e-06
788	1.3205172441106407e-06	2.239118668760838e-06
993	1.4723127349510246e-06	2.6578592288103915e-06
1252	1.6389580655639523e-06	3.1836375385980594e-06
1585	1.8513174856296773e-06	3.822788032047405e-06
1995	2.1034756489044288e-06	4.59293498267965e-06
2512	2.4213874875283057e-06	5.519769070264786e-06
3162	2.8021281494275773e-06	6.655354981819443e-06
3981	3.2955389385827663e-06	8.007772299828777e-06
5012	3.926980697417058e-06	9.657782262734421e-06
6310	4.730555323788753e-06	1.1630990351992285e-05
7943	5.781735818639184e-06	1.395701456876798e-05
10000	7.16503334529618e-06	1.670880900148892e-05
12589	8.983857336127481e-06	1.99172221229384e-05
15849	1.1354849277508908e-05	2.359766058193056e-05
19953	1.444849751583034e-05	2.7750705159431142e-05
25119	1.8385379802960574e-05	3.229253393611031e-05
31623	2.3508343595810125e-05	3.710747392393196e-05
39811	2.9990759216293375e-05	4.180354022290835e-05
50119	3.751033554961419e-05	4.583249154396174e-05
63096	4.585292037601969e-05	4.896810981901434e-05
79433	5.4525443102791205e-05	5.1512907872551724e-05
100000	6.375752036580162e-05	5.3382156944680604e-05
