frequency	Y_real	Y_imag
8	2.0584808993092906e-07	1.6795993510242289e-07
25	3.2800240412415127e-07	3.151095631462554e-07
42	4.1053059251900916e-07	4.1914643975335596e-07
59	4.786890841061866e-07	5.13510824110891e-07
76	5.39073018603036e-07	5.926446687897276e-07
93	5.970496495956766e-07	6.674380944922081e-07
127	6.894368415540174e-07	8.075929093213585e-07
161	7.789926706671315e-07	9.255421511599478e-07
246	9.495374084980121e-07	1.1985187631219527e-06
314	1.0734453081092467e-06	1.4029426791134013e-06
399	1.1902572176261873e-06	1.6376674383962937e-06
501	1.3368573014888768e-06	1.8928179066126033e-06
637	1.5111593754197622e-06	2.2291973088326835e-06
788	1.6795023487901058e-06	2.5714538085741333e-06
993	1.8787535573163741e-06	3.0340472754608776e-06
1252	2.1135943540095944e-06	3.5734161234591144e-06
1585	2.3990190436524885e-06	4.236523898693388e-06
1995	2.7236963959495824e-06	5.0235004946269075e-06
2512	3.111755874455042e-06	5.962911264381067e-06
3162	3.567344199337474e-06	7.117671413955319e-06
3981	4.155295289605192e-06	8.473247757075303e-06
5012	4.871998269061464e-06	1.0124852294316049e-05
6310	5.75708317782872e-06	1.2051996165046807e-05
7943	6.909900288994744e-06	1.4378769650100766e-05
10000	8.38280997494389e-06	1.706607908877466e-05
12589	1.027920523539291e-05	2.0232099682990983e-05
15849	1.2732165081381346e-05	2.3815804609770146e-05
19953	1.5886320799025937e-05	2.786882144047903e-05
25119	1.9915279172822305e-05	3.229731650109072e-05
31623	2.5051933700713454e-05	3.697358723449428e-05
39811	3.1465879301267185e-05	4.144513161749388e-05
50119	3.8999142849245145e-05	4.5316121847257156e-05
63096	4.7149161575631474e-05	4.827991280453498e-05
79433	5.558066453682552e-05	5.0511896311548736e-05
100000	6.452573253711308e-05	5.2429881493701616e-05
