frequency	Y_real	Y_imag
8	4.326321218340723e-07	2.994748570171479e-07
25	6.734584780047772e-07	5.140060978896067e-07
42	8.319896942148752e-07	6.543145949322459e-07
59	9.588688079485582e-07	7.569725192377405e-07
76	1.067428994181193e-06	8.500409395222529e-07
93	1.150000702583296e-06	9.273277442179252e-07
127	1.3109482923619313e-06	1.0612871094481376e-06
161	1.4270337854718769e-06	1.1879617374578475e-06
246	1.6934344277914295e-06	1.448820556802349e-06
314	1.8533486867277674e-06	1.6231266194700765e-06
399	2.0448623229459643e-06	1.8382384540740266e-06
501	2.2065575224561332e-06	2.0796663608849962e-06
637	2.4094693580163685e-06	2.362858664639675e-06
788	2.5967790411911444e-06	2.6933801249783318e-06
993	2.8268649694989836e-06	3.087316461577875e-06
1252	3.080279262902103e-06	3.5855220513687383e-06
1585	3.3701986826439085e-06	4.203447400504025e-06
1995	3.6843977541603107e-06	4.949065942492684e-06
2512	4.073445397278765e-06	5.845629929621493e-06
3162	4.520926635963125e-06	6.916980234499795e-06
3981	5.0598703154458015e-06	8.226923929478473e-06
5012	5.740571806951404e-06	9.793811604624279e-06
6310	6.588098973495414e-06	1.1703136649978201e-05
7943	7.676101864186176e-06	1.3941178514428528e-05
10000	9.061139479774952e-06	1.6579860857348773e-05
12589	1.0871631733215701e-05	1.9690583130427344e-05
15849	1.3212015060140882e-05	2.3237673329756996e-05
19953	1.621701896434461e-05	2.724059328628343e-05
25119	2.0069667199618112e-05	3.1670293193443306e-05
31623	2.50685424467958e-05	3.629919720811359e-05
39811	3.1347075352483344e-05	4.085822331002412e-05
50119	3.870014601917552e-05	4.486859895076366e-05
63096	4.675578569057348e-05	4.800383421330038e-05
79433	5.518599550917177e-05	5.033383838508929e-05
100000	6.427770254081049e-05	5.247203499089588e-05
