frequency	Y_real	Y_imag
8	3.620527682383493e-07	2.693267012958391e-07
25	5.717154524863897e-07	4.776656841700024e-07
42	7.09741986587023e-07	6.106309626567701e-07
59	8.203315572470847e-07	7.229725659931326e-07
76	9.237594741425594e-07	8.19805982130981e-07
93	1.0039008340752223e-06	8.983996334919162e-07
127	1.1507386126499338e-06	1.0632292157414016e-06
161	1.2748282922146707e-06	1.1864353528696624e-06
246	1.5299666343681676e-06	1.46448015616344e-06
314	1.6981836433332411e-06	1.678225049092852e-06
399	1.878494980149054e-06	1.9125796089693867e-06
501	2.0618335685199183e-06	2.147850718156412e-06
637	2.275525330180569e-06	2.4767723404657137e-06
788	2.476091325841854e-06	2.808144144049127e-06
993	2.7148700817619225e-06	3.271208520437936e-06
1252	3.0066168289397866e-06	3.7845620075955545e-06
1585	3.332452979203708e-06	4.423419858154045e-06
1995	3.68828124220023e-06	5.175571381018935e-06
2512	4.11591294503808e-06	6.084378825927782e-06
3162	4.601317147391343e-06	7.199884476990456e-06
3981	5.197086234963972e-06	8.504514829955028e-06
5012	5.9326823558603665e-06	1.0102593163315887e-05
6310	6.825554400326351e-06	1.1967597872896868e-05
7943	7.972534231691494e-06	1.4218283373570467e-05
10000	9.426114047479449e-06	1.683410529979806e-05
12589	1.1285909195293737e-05	1.991506420290331e-05
15849	1.3666115067025555e-05	2.3423526208173527e-05
19953	1.673367060745493e-05	2.7384067083960326e-05
25119	2.066934621190979e-05	3.174381745094814e-05
31623	2.5661115837308076e-05	3.6341839365911564e-05
39811	3.190499506975014e-05	4.081142890243316e-05
50119	3.9290376875907636e-05	4.4712731560565925e-05
63096	4.7275949292629554e-05	4.773338103167072e-05
79433	5.567478524226166e-05	5.002278440107929e-05
100000	6.449730138297275e-05	5.20591418945746e-05
