frequency	Y_real	Y_imag
8	4.820019391842914e-07	3.3692002892865884e-07
25	7.534174767767355e-07	5.775547430142304e-07
42	9.319383087562055e-07	7.299045602208008e-07
59	1.072713672999234e-06	8.417860897074265e-07
76	1.1984108252373994e-06	9.456433691961328e-07
93	1.2890370225548774e-06	1.0260366763601214e-06
127	1.4719688622701095e-06	1.179665592971193e-06
161	1.602200182518718e-06	1.3101477316746274e-06
246	1.906072224805793e-06	1.5813250063384994e-06
314	2.0858433178292735e-06	1.7696157631181332e-06
399	2.3098282195035965e-06	1.993127184122805e-06
501	2.4921389604987755e-06	2.2281491705291777e-06
637	2.714715556952935e-06	2.5189412097292513e-06
788	2.9210513010679085e-06	2.851050251251855e-06
993	3.1758729394614523e-06	3.2650801453920756e-06
1252	3.4694956487259685e-06	3.757360547438815e-06
1585	3.7919880929041e-06	4.374031973956117e-06
1995	4.135333731209455e-06	5.110197621379853e-06
2512	4.556123378959625e-06	5.99941396239083e-06
3162	5.0352477011926e-06	7.066449489148632e-06
3981	5.598024127026793e-06	8.358060678917312e-06
5012	6.309498596124139e-06	9.909418356532555e-06
6310	7.181346975471918e-06	1.1779930519410655e-05
7943	8.291808394953517e-06	1.3991246998612656e-05
10000	9.69594342010547e-06	1.6590154442121468e-05
12589	1.1511533839294886e-05	1.9657260258749513e-05
15849	1.3838554169770091e-05	2.3156659581562595e-05
19953	1.6831479962192832e-05	2.7099683992616282e-05
25119	2.068009743637522e-05	3.1476439602507596e-05
31623	2.5620305024040126e-05	3.6049728314956724e-05
39811	3.182223401354487e-05	4.055153253562273e-05
50119	3.913445554937501e-05	4.4531060882985296e-05
63096	4.7087032221859294e-05	4.765372951434009e-05
79433	5.54967727288967e-05	4.9902769022781576e-05
100000	6.441168965232127e-05	5.210719069146996e-05
