frequency	Y_real	Y_imag
8	3.234018744441164e-07	2.2652192307884437e-07
25	5.017860439059589e-07	3.9694303739918853e-07
42	6.201628191511477e-07	5.132889930376618e-07
59	7.163636822629928e-07	6.042307275445782e-07
76	7.955806166263872e-07	6.821658877017501e-07
93	8.646089198241487e-07	7.526431405610267e-07
127	9.827087735246864e-07	8.715660541223085e-07
161	1.0806219158745192e-06	9.876454927527126e-07
246	1.2811596934793107e-06	1.2351004326648469e-06
314	1.4099777119453356e-06	1.4080973017339439e-06
399	1.5469017244099628e-06	1.6152417377246734e-06
501	1.6850054278140375e-06	1.857397432921764e-06
637	1.8536305873791432e-06	2.1493082011347844e-06
788	2.013982090861569e-06	2.473790283884497e-06
993	2.2060575076228784e-06	2.8709046913499064e-06
1252	2.4131955164007066e-06	3.3825311667989066e-06
1585	2.6637445637229354e-06	4.0092514501367574e-06
1995	2.94616329278099e-06	4.7675497636949015e-06
2512	3.299067882022615e-06	5.678028351658067e-06
3162	3.7106483555567593e-06	6.776569755787067e-06
3981	4.227217979031771e-06	8.108118705296251e-06
5012	4.880121228892775e-06	9.712754111892395e-06
6310	5.703648434289866e-06	1.1659465381990138e-05
7943	6.771849399806774e-06	1.393973766187768e-05
10000	8.151381327981544e-06	1.663374847756953e-05
12589	9.96669388006223e-06	1.9795715946276855e-05
15849	1.2327187304555018e-05	2.3408779891138005e-05
19953	1.5372479031572657e-05	2.7488368541120254e-05
25119	1.9257016942770465e-05	3.1976311895689614e-05
31623	2.4328620471953762e-05	3.6691269269610025e-05
39811	3.071001460454333e-05	4.1323657777883394e-05
50119	3.8134484574678605e-05	4.534500794193193e-05
63096	4.6330519130589155e-05	4.846985593081143e-05
79433	5.483024922767739e-05	5.094193311661687e-05
100000	6.406492052464539e-05	5.292838829322088e-05
