frequency	Y_real	Y_imag
8	4.799763959239515e-07	3.3468882143113633e-07
25	7.497699650207661e-07	5.73300743985626e-07
42	9.272300658394254e-07	7.249329377505587e-07
59	1.0673668132918314e-06	8.357327457898376e-07
76	1.1917393162047027e-06	9.385872165946479e-07
93	1.2817217689577693e-06	1.0187856555806606e-06
127	1.4633218125920878e-06	1.1696700694676797e-06
161	1.5919780311033723e-06	1.3000983064403615e-06
246	1.8931200515882836e-06	1.570087057975637e-06
314	2.0710102943448017e-06	1.7557827852521957e-06
399	2.292698298293892e-06	1.978158346788975e-06
501	2.472522042503554e-06	2.214240273055463e-06
637	2.6933173004448335e-06	2.5028441460263514e-06
788	2.8977269809652697e-06	2.8350540615096884e-06
993	3.1503622136756024e-06	3.2450710647099908e-06
1252	3.439418678622859e-06	3.7374822094316623e-06
1585	3.758227662263253e-06	4.353723826067728e-06
1995	4.097983197148679e-06	5.0907359058995485e-06
2512	4.5149966564179605e-06	5.980332449992905e-06
3162	4.990469193604838e-06	7.046301925868447e-06
3981	5.5498249956338635e-06	8.339897286682981e-06
5012	6.2571745758943116e-06	9.891591920880584e-06
6310	7.125838145456652e-06	1.1766913465860172e-05
7943	8.233018177599602e-06	1.3980358001234931e-05
10000	9.63367314149491e-06	1.658323104620963e-05
12589	1.1447628272366478e-05	1.9655162015787228e-05
15849	1.3775226870982568e-05	2.3159466467288098e-05
19953	1.676751676684981e-05	2.710877645292398e-05
25119	2.0614496546210683e-05	3.149198703109414e-05
31623	2.556042614309391e-05	3.607048209923842e-05
39811	3.1770110881883925e-05	4.057866508401407e-05
50119	3.908538033595221e-05	4.456375460955372e-05
63096	4.7048564445989e-05	4.769056588855075e-05
79433	5.545989429803977e-05	4.994484716327298e-05
100000	6.439738370265477e-05	5.2147871819873476e-05
