frequency	Y_real	Y_imag
8	4.806534556659548e-07	3.379390189178102e-07
25	7.523148370190001e-07	5.806482291022338e-07
42	9.309798668394328e-07	7.333641665961881e-07
59	1.0716157577525076e-06	8.470857616819511e-07
76	1.1986621017811271e-06	9.522816493507444e-07
93	1.2899716280011042e-06	1.0328516734293555e-06
127	1.4736126156645618e-06	1.1915401850199137e-06
161	1.606339914270509e-06	1.3216994739489815e-06
246	1.9127216694600537e-06	1.5949555341331991e-06
314	2.0951572888843023e-06	1.7886743788172544e-06
399	2.321043871361689e-06	2.0143556940539286e-06
501	2.507591092510537e-06	2.247393326551096e-06
637	2.732680798008881e-06	2.5434341596401655e-06
788	2.941912924495903e-06	2.8751133332909425e-06
993	3.1995518945218244e-06	3.2978096512957534e-06
1252	3.50059704834518e-06	3.7906384657600404e-06
1585	3.8291509106144e-06	4.408796121259133e-06
1995	4.178805944312604e-06	5.144012127356594e-06
2512	4.606025216861864e-06	6.033274190177228e-06
3162	5.09122718371708e-06	7.104031851937368e-06
3981	5.66073916233971e-06	8.392648978113298e-06
5012	6.37981856195781e-06	9.945326697070676e-06
6310	7.257533529509041e-06	1.1807587030741592e-05
7943	8.374535908581299e-06	1.4016763657200978e-05
10000	9.786152248333404e-06	1.6609863689163387e-05
12589	1.1605962819612102e-05	1.966940213452639e-05
15849	1.3933714064421372e-05	2.3161238338171574e-05
19953	1.6930422754559914e-05	2.709467417319137e-05
25119	2.078469889898677e-05	3.146023908131038e-05
31623	2.5717183816243352e-05	3.6026201581163054e-05
39811	3.1907712629461305e-05	4.051722832209268e-05
50119	3.9217285995366686e-05	4.4484845560569834e-05
63096	4.715381722537734e-05	4.759681946220286e-05
79433	5.556084405872662e-05	4.984161615643831e-05
100000	6.443592325791775e-05	5.204038712657945e-05
