frequency	Y_real	Y_imag
8	2.702678208046219e-07	1.9209830972287053e-07
25	4.188521964635417e-07	3.4257110150076e-07
42	5.184106838634071e-07	4.4747654284597853e-07
59	5.993972364866435e-07	5.330431929188799e-07
76	6.65097257868783e-07	6.049540772397806e-07
93	7.276344473424595e-07	6.719531375557158e-07
127	8.256948816070265e-07	7.866077993351884e-07
161	9.151807789237401e-07	8.973784093841967e-07
246	1.0857927570876467e-06	1.139160472366194e-06
314	1.1999761627308036e-06	1.3143755137334173e-06
399	1.3141609532612755e-06	1.5189724732273877e-06
501	1.4420781877603183e-06	1.759773836063609e-06
637	1.5933997626930191e-06	2.0575612900700365e-06
788	1.7418098512870561e-06	2.379430300580856e-06
993	1.9174858649002734e-06	2.783694067990732e-06
1252	2.1072661040398868e-06	3.301314256765998e-06
1585	2.3420943347393767e-06	3.932756931527899e-06
1995	2.612135432116118e-06	4.696018482932039e-06
2512	2.9507420205133807e-06	5.612848019079036e-06
3162	3.3490130195515683e-06	6.726024335262997e-06
3981	3.856577679092481e-06	8.065992089245196e-06
5012	4.500174081016354e-06	9.688814261751122e-06
6310	5.315078286261919e-06	1.1647611206159512e-05
7943	6.376089819114016e-06	1.394622170088932e-05
10000	7.756441220503643e-06	1.6663687147446958e-05
12589	9.574089825892272e-06	1.984519288828032e-05
15849	1.1940454816164083e-05	2.348613665775912e-05
19953	1.5005593593131711e-05	2.7596376958800093e-05
25119	1.890865326825278e-05	3.2106720637687e-05
31623	2.4005140370656205e-05	3.686100871237127e-05
39811	3.0428765636421525e-05	4.1521954676740504e-05
50119	3.7888146876270336e-05	4.554500377870554e-05
63096	4.614367059329832e-05	4.866814615550479e-05
79433	5.469743436831468e-05	5.118894568181556e-05
100000	6.39546779571534e-05	5.3114691542885246e-05
