frequency	Y_real	Y_imag
8	2.7414766459180847e-07	2.1312255719802307e-07
25	4.3504930042522676e-07	3.8825071877724305e-07
42	5.418605163645535e-07	5.052867776219021e-07
59	6.290104956868339e-07	6.091265044721348e-07
76	7.091818477553718e-07	6.963659127355509e-07
93	7.776777458192044e-07	7.731893255121156e-07
127	8.944233578005714e-07	9.263849227257915e-07
161	1.001254924715473e-06	1.0465067713683183e-06
246	1.210054547696562e-06	1.3228984023148212e-06
314	1.356219652409014e-06	1.5338881061363879e-06
399	1.5001891462637284e-06	1.769436112004416e-06
501	1.6657327905988586e-06	2.0150311759014695e-06
637	1.8603589492607894e-06	2.35086733840499e-06
788	2.044831671210769e-06	2.687199111546351e-06
993	2.262524585345634e-06	3.1537125434148334e-06
1252	2.5253249389389295e-06	3.6818515566537725e-06
1585	2.8315211522592492e-06	4.334137918339987e-06
1995	3.173117311310758e-06	5.104793523840148e-06
2512	3.5815696033597147e-06	6.030067131086306e-06
3162	4.052074532083919e-06	7.16867671337213e-06
3981	4.64743257141524e-06	8.4990569467595e-06
5012	5.375036455789082e-06	1.0127466728464321e-05
6310	6.265107117264534e-06	1.2022244295829703e-05
7943	7.417878696960323e-06	1.4313879346793098e-05
10000	8.88434817088209e-06	1.696584891207042e-05
12589	1.076509272575664e-05	2.0089644268056026e-05
15849	1.3186321254494246e-05	2.3635142063676513e-05
19953	1.6301526385315685e-05	2.7643853669569576e-05
25119	2.028949492873202e-05	3.203539365351349e-05
31623	2.5355971411072956e-05	3.667602824542151e-05
39811	3.168508846567913e-05	4.1146514896484806e-05
50119	3.914810085403615e-05	4.5027551166440194e-05
63096	4.721937934616811e-05	4.801187727580379e-05
79433	5.5628065808474355e-05	5.02897847196675e-05
100000	6.45099496814164e-05	5.2246560011687516e-05
