frequency	Y_real	Y_imag
8	2.3569610800025616e-07	1.698862264627736e-07
25	3.6498916925405815e-07	3.0766480397309887e-07
42	4.5249258394882857e-07	4.0517358691856896e-07
59	5.234652309878013e-07	4.871362156000503e-07
76	5.804814351049054e-07	5.554858092599222e-07
93	6.386151912861635e-07	6.201779011955317e-07
127	7.239030863236119e-07	7.325333882857827e-07
161	8.075847988782828e-07	8.399039020270957e-07
246	9.592364014133166e-07	1.0781911174845579e-06
314	1.0637840541422376e-06	1.2551340433706667e-06
399	1.1644539196590296e-06	1.4584742643098924e-06
501	1.2855770104031213e-06	1.698107483349626e-06
637	1.4252062942004767e-06	1.999621244180417e-06
788	1.5659035592701427e-06	2.32013625885951e-06
993	1.7313897298055814e-06	2.730097163311566e-06
1252	1.9109995393632553e-06	3.251337315579467e-06
1585	2.1362242413707198e-06	3.885937849311987e-06
1995	2.3986788230870034e-06	4.652178021304815e-06
2512	2.7284974330932246e-06	5.57312105775755e-06
3162	3.1190307232830906e-06	6.695831070919853e-06
3981	3.6207960464755382e-06	8.041000695015885e-06
5012	4.259075226540882e-06	9.67541193695969e-06
6310	5.068979183469027e-06	1.1640770497034592e-05
7943	6.1257247883966894e-06	1.3950933163131033e-05
10000	7.507157369153671e-06	1.668299681791058e-05
12589	9.325794416144016e-06	1.987615114404189e-05
15849	1.1694735075385247e-05	2.3534188430633844e-05
19953	1.4772328348415552e-05	2.7662954411046604e-05
25119	1.8688616530267358e-05	3.218682902711464e-05
31623	2.3798056090890916e-05	3.696647026113973e-05
39811	3.024730636143267e-05	4.164363894745316e-05
50119	3.7730607130089536e-05	4.566824488263764e-05
63096	4.6023170206188956e-05	4.8793603919089106e-05
79433	5.4620929562319746e-05	5.1334197371852376e-05
100000	6.387714824319194e-05	5.3229113685136285e-05
