frequency	Y_real	Y_imag
8	2.5280946800661e-07	1.8086741961284103e-07
25	3.916449726865084e-07	3.249066634094825e-07
42	4.850985364427403e-07	4.2607248765668805e-07
59	5.610400645221748e-07	5.098353987793513e-07
76	6.223463035251863e-07	5.799142187576579e-07
93	6.8268583291513e-07	6.457521358261377e-07
127	7.742683561767929e-07	7.592118405735394e-07
161	8.608697557751473e-07	8.682571361488899e-07
246	1.0218598740437946e-06	1.1082559114614285e-06
314	1.1311955782667545e-06	1.284334151035633e-06
399	1.238425901278601e-06	1.4882552586943658e-06
501	1.3629457883856964e-06	1.7284875098724011e-06
637	1.5084098714351386e-06	2.0281839588106393e-06
788	1.6529307423394269e-06	2.3493265138898827e-06
993	1.8234179983144267e-06	2.7563849347094945e-06
1252	2.0079628957929383e-06	3.2758652983374935e-06
1585	2.237892914682524e-06	3.908895056581186e-06
1995	2.504068868246354e-06	4.673679027280492e-06
2512	2.838200737568531e-06	5.592582370155058e-06
3162	3.2324820677452702e-06	6.710586357656981e-06
3981	3.737126657983752e-06	8.053196756372726e-06
5012	4.37798199224709e-06	9.68190535259867e-06
6310	5.190307289779262e-06	1.1644123863552228e-05
7943	6.24913243512543e-06	1.3948595981851778e-05
10000	7.629991170377096e-06	1.6673488448418174e-05
12589	9.44820833498556e-06	1.986096561243884e-05
15849	1.1815992084792963e-05	2.35106385995977e-05
19953	1.4887482867013602e-05	2.763035631571725e-05
25119	1.8797092430223146e-05	3.214761947460799e-05
31623	2.3900445166959724e-05	3.6914719940327236e-05
39811	3.0337186704790603e-05	4.158411102378634e-05
50119	3.7808485981476234e-05	4.560785497278311e-05
63096	4.608283905564878e-05	4.873169288972047e-05
79433	5.4657879203260084e-05	5.126389734720657e-05
100000	6.391622946483238e-05	5.3173051320023725e-05
