frequency	Y_real	Y_imag
8	4.653877774073451e-07	3.30860613314098e-07
25	7.299861715799816e-07	5.715967971575489e-07
42	9.039639462248192e-07	7.222591100577384e-07
59	1.0409374308816655e-06	8.377564701229621e-07
76	1.166621417548047e-06	9.432052180200139e-07
93	1.2573605990759896e-06	1.023608502027313e-06
127	1.4372615349555648e-06	1.188189518331529e-06
161	1.571724844806493e-06	1.317000743306649e-06
246	1.874422190039825e-06	1.5926473877352683e-06
314	2.0579415439749047e-06	1.7943572271879694e-06
399	2.2799550728746444e-06	2.0230050186081922e-06
501	2.470524332898647e-06	2.2539257897179765e-06
637	2.696751268310003e-06	2.5593218386182756e-06
788	2.907780684556965e-06	2.8901069083003182e-06
993	3.1657043645010265e-06	3.3263471429648865e-06
1252	3.47293019259328e-06	3.822035654897199e-06
1585	3.806947582284351e-06	4.443934857304471e-06
1995	4.163433948430609e-06	5.179883046048677e-06
2512	4.596993954109774e-06	6.071336324705043e-06
3162	5.0878666720014e-06	7.1511465853555505e-06
3981	5.666903757552987e-06	8.43826328312267e-06
5012	6.395200093357677e-06	9.997686165722153e-06
6310	7.280131045455614e-06	1.1851919090120305e-05
7943	8.406689223546879e-06	1.4063560927965335e-05
10000	9.830319516968712e-06	1.6653663975967647e-05
12589	1.1658688365311542e-05	1.9707940189790513e-05
15849	1.3992772853092842e-05	2.3194462962105787e-05
19953	1.7001197118184296e-05	2.712177600258298e-05
25119	2.0869910670889877e-05	3.14756359310163e-05
31623	2.5801217731831177e-05	3.603861212238584e-05
39811	3.198621488823129e-05	4.0518217462573076e-05
50119	3.930101810761878e-05	4.446678197758049e-05
63096	4.722767363680984e-05	4.7557430818629956e-05
79433	5.5631157625140645e-05	4.980862527441168e-05
100000	6.446269040618468e-05	5.19802001906811e-05
