frequency	Y_real	Y_imag
8	4.6342987179491636e-07	3.214419848428987e-07
25	7.226041359747155e-07	5.503459235691234e-07
42	8.931071569667431e-07	6.977412659160744e-07
59	1.0285472886948525e-06	8.0477497827071e-07
76	1.1465528859244838e-06	9.034353933191445e-07
93	1.233515552301637e-06	9.825629676288226e-07
127	1.4073422141885956e-06	1.1248600495486517e-06
161	1.5302553094578122e-06	1.2541591808588708e-06
246	1.817653396943636e-06	1.5199891552254198e-06
314	1.9878862075576786e-06	1.6989051436891908e-06
399	2.197656932762191e-06	1.9177147368600908e-06
501	2.368931608450621e-06	2.1568431398648077e-06
637	2.5823023596614235e-06	2.441010255473693e-06
788	2.779224597472385e-06	2.772900904343501e-06
993	3.0224142167007664e-06	3.172890003019741e-06
1252	3.295034859472454e-06	3.6672129358386933e-06
1585	3.6006080148490865e-06	4.283422635406777e-06
1995	3.928236386267042e-06	5.024137212184956e-06
2512	4.332166599689833e-06	5.916325424203808e-06
3162	4.794668912915361e-06	6.982467210678968e-06
3981	5.343735413228496e-06	8.28352099764831e-06
5012	6.037917607650045e-06	9.84013284778186e-06
6310	6.89628803891519e-06	1.1731784215780469e-05
7943	7.993723187024152e-06	1.3955314866873408e-05
10000	9.385329475008414e-06	1.6573838696380844e-05
12589	1.1196279411611108e-05	1.966351490514988e-05
15849	1.3528686608399636e-05	2.3186655075684948e-05
19953	1.652397145888914e-05	2.715993314157622e-05
25119	2.0370646257442488e-05	3.156509155554037e-05
31623	2.5339848018170228e-05	3.6165001445207306e-05
39811	3.15798872485567e-05	4.069613092813767e-05
50119	3.89103037849307e-05	4.46957647552971e-05
63096	4.691430677718266e-05	4.783011869093147e-05
79433	5.533243216224111e-05	5.011313905303092e-05
100000	6.434503146338177e-05	5.229530261266383e-05
