frequency	Y_real	Y_imag
8	2.22248474257614e-07	1.7892319337101746e-07
25	3.537806648820472e-07	3.3295852625039515e-07
42	4.421419834847316e-07	4.4018913475003905e-07
59	5.149359124118925e-07	5.370652336255125e-07
76	5.801965450161873e-07	6.181966370001231e-07
93	6.408343842876499e-07	6.935647771958309e-07
127	7.391644172261409e-07	8.371204558145602e-07
161	8.33178430140665e-07	9.55615888271814e-07
246	1.0130963437812696e-06	1.2296284052640202e-06
314	1.1428055387782493e-06	1.4359237351999295e-06
399	1.2660320386402328e-06	1.6710099674305797e-06
501	1.4175992127391083e-06	1.923839546262451e-06
637	1.597309467222983e-06	2.2604201901455628e-06
788	1.7698565460117019e-06	2.6011163989402506e-06
993	1.9737359127382435e-06	3.065090393127686e-06
1252	2.215695722257541e-06	3.6017974366189397e-06
1585	2.50658601471766e-06	4.262249665233332e-06
1995	2.8358245211011246e-06	5.045167022153833e-06
2512	3.2292122581721105e-06	5.981037469688275e-06
3162	3.688648761926347e-06	7.131987945765194e-06
3981	4.27900817878757e-06	8.481082948817905e-06
5012	4.9986722422373835e-06	1.0127075047959171e-05
6310	5.885149044094788e-06	1.204566013559235e-05
7943	7.038303000784656e-06	1.436371415956206e-05
10000	8.50988989809634e-06	1.7041848009263886e-05
12589	1.0402470182872642e-05	2.0196966786260536e-05
15849	1.2847860051811777e-05	2.3770636456421746e-05
19953	1.5992319269221682e-05	2.781248381630025e-05
25119	2.001130012529293e-05	3.223106530850371e-05
31623	2.5129946698005385e-05	3.689874290939301e-05
39811	3.152183449599745e-05	4.137006738821884e-05
50119	3.9037338786114524e-05	4.524311160385971e-05
63096	4.7167608299508317e-05	4.8211450864530304e-05
79433	5.559188233835996e-05	5.045800688583677e-05
100000	6.452088109695385e-05	5.23832930761777e-05
