frequency	Y_real	Y_imag
8	4.055868947115162e-07	2.8096474697835975e-07
25	6.307133093093329e-07	4.839522371227648e-07
42	7.790606497164294e-07	6.182337104018842e-07
59	8.984095590143285e-07	7.177201497193906e-07
76	9.993518564745269e-07	8.065729391559487e-07
93	1.078417805778346e-06	8.822229418416077e-07
127	1.228489304448816e-06	1.0111446131807156e-06
161	1.3396334959996201e-06	1.1353097337823234e-06
246	1.5889256099627122e-06	1.3924995822685115e-06
314	1.7407548552930884e-06	1.565149752505416e-06
399	1.9176153570478703e-06	1.777816101312155e-06
501	2.0726476325538916e-06	2.020133683057858e-06
637	2.2670202306174264e-06	2.3045083091413762e-06
788	2.4470627021071245e-06	2.633584637277717e-06
993	2.6669427151314505e-06	3.0260231007703196e-06
1252	2.906873258531724e-06	3.527643231631369e-06
1585	3.1856026622760355e-06	4.147533663886328e-06
1995	3.490560061672342e-06	4.896758766606229e-06
2512	3.869211064469522e-06	5.796944890380158e-06
3162	4.306181310820778e-06	6.874285248744813e-06
3981	4.838542020118263e-06	8.190491069625872e-06
5012	5.5105730816602295e-06	9.76666409375089e-06
6310	6.350887208107271e-06	1.1687632707741056e-05
7943	7.432869704857621e-06	1.393701826797925e-05
10000	8.814995688824856e-06	1.6590845875258457e-05
12589	1.0626300902450193e-05	1.9716436630595062e-05
15849	1.297276562192822e-05	2.3281521678759947e-05
19953	1.5987345923892952e-05	2.7306055392528315e-05
25119	1.9846917221510664e-05	3.175271021540356e-05
31623	2.4867221679329313e-05	3.640424342098347e-05
39811	3.1174291652497925e-05	4.098383037526593e-05
50119	3.854564371658268e-05	4.49990916665725e-05
63096	4.663978923952482e-05	4.813219637888448e-05
79433	5.5082822496880925e-05	5.050108125581388e-05
100000	6.422446562398449e-05	5.2600019177816586e-05
