frequency	Y_real	Y_imag
8	3.4088733571852296e-07	2.3795490099575602e-07
25	5.291348400781845e-07	4.150934603194966e-07
42	6.537911513532375e-07	5.352259269905424e-07
59	7.54954554339467e-07	6.27930018510987e-07
76	8.386860010252534e-07	7.080071231276601e-07
93	9.09822361847334e-07	7.796079736822926e-07
127	1.0346202274371279e-06	9.002240492748995e-07
161	1.1352649833279295e-06	1.0180519364162292e-06
246	1.3458868597043422e-06	1.2674628948214231e-06
314	1.4795192142154517e-06	1.4399673669119034e-06
399	1.6244406011667872e-06	1.6481107072226243e-06
501	1.7659387870233261e-06	1.8905456139735059e-06
637	1.940111910207386e-06	2.180597020298743e-06
788	2.104478519507633e-06	2.506030390053166e-06
993	2.30218212586846e-06	2.9013625550896687e-06
1252	2.515584960454425e-06	3.410922209188531e-06
1585	2.771646843268289e-06	4.036129806419515e-06
1995	3.058421953383365e-06	4.792666022477572e-06
2512	3.4163382002927688e-06	5.701019319630864e-06
3162	3.832748443768554e-06	6.794833426457243e-06
3981	4.352398924358138e-06	8.123421721981368e-06
5012	5.008775992213474e-06	9.722015400409336e-06
6310	5.835450515720605e-06	1.1664096885885821e-05
7943	6.906240489475077e-06	1.3938111052066481e-05
10000	8.28583212398787e-06	1.6624057906256794e-05
12589	1.0100262486935426e-05	1.977903113764402e-05
15849	1.2458289758200146e-05	2.338246273991692e-05
19953	1.549698164853816e-05	2.7451260381551026e-05
25119	1.937582225086896e-05	3.193123976176789e-05
31623	2.4437912371398036e-05	3.6633086910604154e-05
39811	3.080455452561743e-05	4.125516281201389e-05
50119	3.821776866560729e-05	4.5275790339657464e-05
63096	4.6393379478761255e-05	4.8402109761553316e-05
79433	5.487850295859588e-05	5.085457585197629e-05
100000	6.409953351550746e-05	5.286350826054367e-05
