frequency	Y_real	Y_imag
8	4.5462635756536215e-07	3.1500123990485443e-07
25	7.084708481318893e-07	5.395744250911733e-07
42	8.754888272477358e-07	6.849002235374049e-07
59	1.0084776985696148e-06	7.905335567235137e-07
76	1.1236402831280418e-06	8.874577634414992e-07
93	1.2092739785757624e-06	9.660576972221997e-07
127	1.379327851194342e-06	1.1055038714494808e-06
161	1.5000609420303488e-06	1.2340918084885418e-06
246	1.781183559496141e-06	1.498347649096771e-06
314	1.9482465981883358e-06	1.675454582845161e-06
399	2.152542419372794e-06	1.8930377965962744e-06
501	2.320704470467576e-06	2.1330444791740435e-06
637	2.5309172087911274e-06	2.4164994390818266e-06
788	2.7248412589049498e-06	2.7480502155399474e-06
993	2.964017115694923e-06	3.1455347273403294e-06
1252	3.2304565180652985e-06	3.6409568755208375e-06
1585	3.531023341786284e-06	4.25755612884968e-06
1995	3.854274572722998e-06	4.999807643650214e-06
2512	4.253389569225406e-06	5.893282100353798e-06
3162	4.71104946869878e-06	6.960618395969688e-06
3981	5.256713001543487e-06	8.264525343179871e-06
5012	5.946381366174298e-06	9.82401186820309e-06
6310	6.80116932063393e-06	1.1721502156849888e-05
7943	7.895413359063283e-06	1.394945196521249e-05
10000	9.284537778615367e-06	1.6574268054862155e-05
12589	1.1095079861061814e-05	1.96707044207268e-05
15849	1.3429889487898379e-05	2.3201326959470474e-05
19953	1.642772075224903e-05	2.7183978821270978e-05
25119	2.027574159519178e-05	3.1597126894358196e-05
31623	2.5254316743531844e-05	3.620594096279696e-05
39811	3.1506438242077975e-05	4.0745881339749435e-05
50119	3.884367847643916e-05	4.474954465067004e-05
63096	4.6863873850651496e-05	4.78848514184233e-05
79433	5.528526242699359e-05	5.018167668950246e-05
100000	6.432427091745076e-05	5.235154244992325e-05
