frequency	Y_real	Y_imag
8	3.9428382756681515e-07	2.892874329075162e-07
25	6.214792386746319e-07	5.088430517774771e-07
42	7.708950437409862e-07	6.474931231515308e-07
59	8.898500022196324e-07	7.618458051148385e-07
76	1.0010414112264742e-06	8.618710158599959e-07
93	1.0849441814470469e-06	9.410297338886344e-07
127	1.2424785690617335e-06	1.1081531086052688e-06
161	1.371328561449794e-06	1.2327763117743057e-06
246	1.6424997999321777e-06	1.5107632532646944e-06
314	1.8170221381716393e-06	1.7233333777074647e-06
399	2.0108104658584213e-06	1.956627250068244e-06
501	2.1985845946535188e-06	2.1892189575240616e-06
637	2.4175418877480886e-06	2.513329692144582e-06
788	2.6226990743163555e-06	2.8437910738638896e-06
993	2.8684564579393626e-06	3.3023509912245244e-06
1252	3.168244716755884e-06	3.810243067645669e-06
1585	3.4991202440047386e-06	4.44413776617234e-06
1995	3.857809675551594e-06	5.190373944768407e-06
2512	4.290084326013765e-06	6.0935134187891945e-06
3162	4.779401563155945e-06	7.199401490884723e-06
3981	5.3726860275063026e-06	8.496623617697703e-06
5012	6.108967706202771e-06	1.0083142935911228e-05
6310	7.001427265515482e-06	1.1940870421031937e-05
7943	8.144363008099217e-06	1.4177916023721084e-05
10000	9.591290864130174e-06	1.678304851611299e-05
12589	1.1442600915055147e-05	1.9851855422708498e-05
15849	1.3808002964962222e-05	2.3350104438868813e-05
19953	1.685797370023591e-05	2.729617584268861e-05
25119	2.0773997849893323e-05	3.164904564164834e-05
31623	2.574261388742402e-05	3.623330076982808e-05
39811	3.1961897195951574e-05	4.070345725485293e-05
50119	3.9322364561481454e-05	4.461523772445198e-05
63096	4.7282413485448584e-05	4.765325459801895e-05
79433	5.568102587758304e-05	4.9935917762301643e-05
100000	6.449175454335192e-05	5.2009191013858013e-05
