frequency	Y_real	Y_imag
8	4.196748626268078e-07	2.9054876786443957e-07
25	6.529488295347229e-07	4.994693841969402e-07
42	8.065740518261636e-07	6.368771002145577e-07
59	9.298495998754022e-07	7.379712705772923e-07
76	1.0347115631029835e-06	8.289651883882807e-07
93	1.1155791006958418e-06	9.05471735182729e-07
127	1.2712839336829716e-06	1.0368465901781996e-06
161	1.3849299648795776e-06	1.1623350823992217e-06
246	1.6430340498974987e-06	1.421388704440856e-06
314	1.799011469252637e-06	1.5947227223824644e-06
399	1.9833868379475257e-06	1.808604693266134e-06
501	2.1417670702921118e-06	2.0505471592847354e-06
637	2.3405570208890996e-06	2.334162785439077e-06
788	2.524301405722984e-06	2.6640070364909042e-06
993	2.749399497758143e-06	3.056936333692949e-06
1252	2.9960991090449788e-06	3.5567811735009435e-06
1585	3.28046922370137e-06	4.175616834843519e-06
1995	3.5900550963909145e-06	4.923019771926217e-06
2512	3.973928051973236e-06	5.821338203018133e-06
3162	4.416172492943942e-06	6.895455907665743e-06
3981	4.951806260293912e-06	8.208517837604941e-06
5012	5.6281188052086326e-06	9.779838623230952e-06
6310	6.472021337385811e-06	1.1695038396409486e-05
7943	7.556983893850041e-06	1.3938627337847502e-05
10000	8.940421702249464e-06	1.658475239998706e-05
12589	1.0751229376388008e-05	1.9702875495350528e-05
15849	1.3094621870959501e-05	2.3258801492837865e-05
19953	1.610415211329863e-05	2.727241204597042e-05
25119	1.9959999327560162e-05	3.171057633623317e-05
31623	2.496951231814841e-05	3.635049848266148e-05
39811	3.1262125227461254e-05	4.09196753789733e-05
50119	3.8624040874030534e-05	4.4932706694879674e-05
63096	4.669862771608734e-05	4.806709060331671e-05
79433	5.5134678821396085e-05	5.041596294758762e-05
100000	6.42519026867236e-05	5.253532627198588e-05
