frequency	Y_real	Y_imag
8	4.4432373287936513e-07	3.07653386179975e-07
25	6.920306400153803e-07	5.274194326568629e-07
42	8.550428953816344e-07	6.703756587344728e-07
59	9.851696018853646e-07	7.745482454452054e-07
76	1.0971738273425874e-06	8.696012412170276e-07
93	1.181339152869529e-06	9.475871591507063e-07
127	1.3470856866214687e-06	1.0842446925749347e-06
161	1.4655376395394302e-06	1.2119556603289189e-06
246	1.7396372055404706e-06	1.4745516388718825e-06
314	1.903253794748815e-06	1.6501168585204516e-06
399	2.1014371694570695e-06	1.8664656800677926e-06
501	2.2663985198782472e-06	2.107243146827682e-06
637	2.47312209979242e-06	2.390377356771739e-06
788	2.6638328604111913e-06	2.721469483397653e-06
993	2.8986276845665064e-06	3.116929748027984e-06
1252	3.1586433919404375e-06	3.6136527471862206e-06
1585	3.4539765268720705e-06	4.230827229104589e-06
1995	3.772740427573699e-06	4.974720886012543e-06
2512	4.166881898111747e-06	5.869663353163449e-06
3162	4.619519132004763e-06	6.938742923383328e-06
3981	5.161806485688358e-06	8.245625860363599e-06
5012	5.846968495836942e-06	9.808550737881703e-06
6310	6.6981330172559955e-06	1.1711951432175649e-05
7943	7.789232688810394e-06	1.3944760963472528e-05
10000	9.176163407698388e-06	1.65763182121599e-05
12589	1.0986563681995887e-05	1.967979588122357e-05
15849	1.3324059905168896e-05	2.321842774886351e-05
19953	1.63251431346754e-05	2.7210991254967782e-05
25119	2.0175167675078184e-05	3.163231956610921e-05
31623	2.516367288197179e-05	3.625082855132978e-05
39811	3.142868245628914e-05	4.0800101588221114e-05
50119	3.8773484047277076e-05	4.48073417966267e-05
63096	4.681094656377884e-05	4.794293479567816e-05
79433	5.523631858984908e-05	5.025549562884532e-05
100000	6.4301823422276e-05	5.241062088551228e-05
