frequency	Y_real	Y_imag
8	4.76174769844234e-07	3.313390574989305e-07
25	7.433667781631586e-07	5.673003360231718e-07
42	9.191221524831927e-07	7.178621120869607e-07
59	1.0581508094015214e-06	8.27487603454896e-07
76	1.1807856903632496e-06	9.291309550117296e-07
93	1.2699357486182449e-06	1.0090557423932405e-06
127	1.4495626122997577e-06	1.1571102160637186e-06
161	1.5764583136573443e-06	1.2873271708803777e-06
246	1.8739182689355796e-06	1.5560272962497224e-06
314	2.0495810487866307e-06	1.7392694633120218e-06
399	2.2681055170632475e-06	1.960480049706282e-06
501	2.4452397968806647e-06	2.1976194203923e-06
637	2.663905901786375e-06	2.4843744471758077e-06
788	2.8660931318003984e-06	2.8165886902803646e-06
993	3.1160429990569826e-06	3.222889519752753e-06
1252	3.400036894833844e-06	3.7156932594605327e-06
1585	3.7147734277563516e-06	4.331716943978467e-06
1995	4.05068789675904e-06	5.0697861276570895e-06
2512	4.4636081621128626e-06	5.960015591812301e-06
3162	4.935064731877305e-06	7.025472868514478e-06
3981	5.49098571692919e-06	8.321331449411956e-06
5012	6.194047915863554e-06	9.874025998415662e-06
6310	7.059384805252892e-06	1.1754521218000783e-05
7943	8.163294724561357e-06	1.3970740673379339e-05
10000	9.5606864907033e-06	1.6578240688390045e-05
12589	1.1373335427376273e-05	1.965558765701258e-05
15849	1.3702053655812946e-05	2.3165519099412804e-05
19953	1.669453741850164e-05	2.712203052392413e-05
25119	2.054067098949532e-05	3.151216302761434e-05
31623	2.5493413670535914e-05	3.609685858517208e-05
39811	3.1712107675616386e-05	4.061204593854296e-05
50119	3.9031493016878895e-05	4.4602389519441005e-05
63096	4.7006834739230845e-05	4.773253371370172e-05
79433	5.542004388226825e-05	4.9994187955869065e-05
100000	6.43815384342176e-05	5.219304463950718e-05
