frequency	Y_real	Y_imag
8	4.356599451435077e-07	3.141202194859701e-07
25	6.849528896272047e-07	5.469156205065822e-07
42	8.488368061794522e-07	6.927054384348179e-07
59	9.783637282643174e-07	8.085053590747637e-07
76	1.0986415849786835e-06	9.121419434942394e-07
93	1.1868700532120095e-06	9.920263181243897e-07
127	1.3577527809951483e-06	1.1596152138095847e-06
161	1.4910345087720026e-06	1.2864364745996816e-06
246	1.7815787457781002e-06	1.5636507708423413e-06
314	1.9624881400497433e-06	1.7719965345323067e-06
399	2.1732679955116283e-06	2.00320988542713e-06
501	2.364397777213886e-06	2.2337994657970675e-06
637	2.5885890939105645e-06	2.5490327792769616e-06
788	2.798236247705139e-06	2.8792054992167765e-06
993	3.0519775348217607e-06	3.3279467382273405e-06
1252	3.358795427529014e-06	3.828788473537009e-06
1585	3.6935847112981063e-06	4.456040624999068e-06
1995	4.0531961516348695e-06	5.195646905008726e-06
2512	4.48853632862536e-06	6.091817528937111e-06
3162	4.980705409357819e-06	7.183783653682132e-06
3981	5.56793401071746e-06	8.473651448134054e-06
5012	6.302098795091497e-06	1.0044781695504811e-05
6310	7.1919992444318396e-06	1.1897302639440645e-05
7943	8.327390367126389e-06	1.4118405557100863e-05
10000	9.763094923792547e-06	1.67126175830523e-05
12589	1.1602227524054293e-05	1.9769887502198492e-05
15849	1.3949099555816763e-05	2.3258583711383936e-05
19953	1.697573082017541e-05	2.719026201037868e-05
25119	2.0865443830204757e-05	3.153962115733093e-05
31623	2.5808935986969785e-05	3.6109019348996915e-05
39811	3.200343214212445e-05	4.058207076199098e-05
50119	3.933524518360152e-05	4.4511535005856045e-05
63096	4.726991101046341e-05	4.7576608108821795e-05
79433	5.567035492474075e-05	4.984326119110854e-05
100000	6.448034830972327e-05	5.197036954322862e-05
