frequency	Y_real	Y_imag
8	3.0979916896553167e-07	2.3619001283605375e-07
25	4.906264995047155e-07	4.2519115180301233e-07
42	6.101085608091085e-07	5.487693056186126e-07
59	7.06883587039128e-07	6.565585029672158e-07
76	7.968121995448777e-07	7.478135644788507e-07
93	8.702699893492441e-07	8.254219374180877e-07
127	9.993749992655636e-07	9.841345492773174e-07
161	1.1138980016798167e-06	1.1054095399513006e-06
246	1.3418932846643434e-06	1.3827922407416575e-06
314	1.497845092740032e-06	1.5957862310927208e-06
399	1.6564101347338938e-06	1.8311328551914942e-06
501	1.8300833284066444e-06	2.0721317331763483e-06
637	2.033296933021967e-06	2.4061084711324074e-06
788	2.224894632334913e-06	2.740026773826485e-06
993	2.4514668443901084e-06	3.2064595447422998e-06
1252	2.7270553589487465e-06	3.7286287963447594e-06
1585	3.042162166822449e-06	4.375442885464406e-06
1995	3.3905551842854775e-06	5.138222540218318e-06
2512	3.8077959591279092e-06	6.0566284202789135e-06
3162	4.284961855432252e-06	7.186300527223888e-06
3981	4.881674134482035e-06	8.505325440945762e-06
5012	5.613425335145821e-06	1.0121587558579056e-05
6310	6.505193631006187e-06	1.2002694340051326e-05
7943	7.65643049387707e-06	1.427713311808224e-05
10000	9.118415611990371e-06	1.6913268894675432e-05
12589	1.0990924503471382e-05	2.0018134098356626e-05
15849	1.3395478154455217e-05	2.3547074035470395e-05
19953	1.649124891550989e-05	2.7534943802624416e-05
25119	2.045811007514694e-05	3.191146101145188e-05
31623	2.5492347202722345e-05	3.6534160181636794e-05
39811	3.1783818533817946e-05	4.1004071205312076e-05
50119	3.921367612761246e-05	4.4892143147450555e-05
63096	4.7247805885060246e-05	4.788953159087007e-05
79433	5.5650550909381425e-05	5.017778295868539e-05
100000	6.450458844809993e-05	5.216306316490422e-05
