frequency	Y_real	Y_imag
8	1.4712601255900226e-07	1.2800852419653762e-07
25	2.3523562918813322e-07	2.4956996427203014e-07
42	2.9680803486275143e-07	3.415780491367766e-07
59	3.4787723613203544e-07	4.256016310392351e-07
76	3.9020248172939197e-07	4.972473771454666e-07
93	4.3775001297120533e-07	5.692327738479296e-07
127	5.08195734208744e-07	6.959838307304419e-07
161	5.800349720545565e-07	8.114945669350378e-07
246	7.158157113766477e-07	1.0791879093508117e-06
314	8.161295360257433e-07	1.2756013407778197e-06
399	9.105262745019058e-07	1.50791940350211e-06
501	1.0368398835243584e-06	1.770810617542725e-06
637	1.1882419112829835e-06	2.1049499258287227e-06
788	1.3393197725129036e-06	2.453291594453241e-06
993	1.5204792744674678e-06	2.909101775939519e-06
1252	1.727634877621939e-06	3.457690558224923e-06
1585	1.990399692481733e-06	4.1307679449384135e-06
1995	2.2956005214495375e-06	4.932985822057474e-06
2512	2.662116241541192e-06	5.88627707023066e-06
3162	3.102275195282069e-06	7.054876116134362e-06
3981	3.677495744504843e-06	8.436265681090528e-06
5012	4.3817568900677874e-06	1.0108917056873213e-05
6310	5.260843038392899e-06	1.2071763590438843e-05
7943	6.41065006362147e-06	1.443170128478572e-05
10000	7.887445378142899e-06	1.7156786062070246e-05
12589	9.798744222391179e-06	2.0366666331268402e-05
15849	1.2278635809543866e-05	2.3992281436053753e-05
19953	1.5470980610508365e-05	2.8088250981390475e-05
25119	1.9537787568768867e-05	3.2558530028990914e-05
31623	2.4747504670915713e-05	3.7264732305848876e-05
39811	3.1251443569777564e-05	4.173671410049384e-05
50119	3.885388359239759e-05	4.560123083898046e-05
63096	4.707879909990811e-05	4.854822692378806e-05
79433	5.55510120562656e-05	5.070464895811687e-05
100000	6.455496003341563e-05	5.260851116003921e-05
