frequency	Y_real	Y_imag
8	3.449998070688334e-07	2.5860787196303413e-07
25	5.453032969020073e-07	4.607776216612019e-07
42	6.772846336451998e-07	5.907027508787454e-07
59	7.834011446579998e-07	7.017255734673074e-07
76	8.82537464480537e-07	7.967849397360871e-07
93	9.60574312693056e-07	8.750708887814405e-07
127	1.1016747092980087e-06	1.0381938564477838e-06
161	1.222877340408178e-06	1.1607274579718533e-06
246	1.4692976145130096e-06	1.4386559682651544e-06
314	1.63378239739024e-06	1.6524772789730022e-06
399	1.806966388883331e-06	1.8872482437109477e-06
501	1.9874613151493425e-06	2.1242257817705422e-06
637	2.1979975398736688e-06	2.4551336502381936e-06
788	2.3958331026794183e-06	2.7871988618767093e-06
993	2.6307383456201363e-06	3.2518398248884478e-06
1252	2.9175864494605933e-06	3.7680755141210227e-06
1585	3.2402422874125094e-06	4.409532095529305e-06
1995	3.593990407277851e-06	5.1650202662192495e-06
2512	4.0185848343891775e-06	6.076904126058375e-06
3162	4.501526452151865e-06	7.197203083784529e-06
3981	5.097991755143438e-06	8.506223542137053e-06
5012	5.832664146569703e-06	1.0110301574928336e-05
6310	6.72538162687346e-06	1.198002006869026e-05
7943	7.874037151590675e-06	1.4238253227843788e-05
10000	9.330638460235297e-06	1.6860329223418043e-05
12589	1.1194694432793067e-05	1.9948551715516235e-05
15849	1.3582817475233384e-05	2.346320188250409e-05
19953	1.6659580529439578e-05	2.7432184797058726e-05
25119	2.0605505731832677e-05	3.179671035173432e-05
31623	2.561048025336234e-05	3.6402490498989876e-05
39811	3.186889360662537e-05	4.087207556611565e-05
50119	3.926827098577773e-05	4.4768628711736476e-05
63096	4.72688432223947e-05	4.7781097876217157e-05
79433	5.5668403508055714e-05	5.0071810557463206e-05
100000	6.449977637592158e-05	5.209033135094316e-05
