frequency	Y_real	Y_imag
8	4.822284495710402e-07	3.380075339078537e-07
25	7.542688639141845e-07	5.800138900756834e-07
42	9.331931187714572e-07	7.327246443779255e-07
59	1.0741343375358696e-06	8.45583690408997e-07
76	1.2007271960032143e-06	9.502245180267674e-07
93	1.2917978524279326e-06	1.0307395488260895e-06
127	1.475410786344941e-06	1.186984038774059e-06
161	1.6070081056165952e-06	1.3173730524501008e-06
246	1.912631888042461e-06	1.5896387609584226e-06
314	2.093921915749365e-06	1.7806205884353422e-06
399	2.3193115712146226e-06	2.0052342477310196e-06
501	2.503874296999102e-06	2.2392300293642158e-06
637	2.72788234597226e-06	2.532515483417836e-06
788	2.935829939955685e-06	2.864439711077271e-06
993	3.1923222467013068e-06	3.282718901234621e-06
1252	3.489959164169176e-06	3.7751388132947896e-06
1585	3.815708264853563e-06	4.392448008461147e-06
1995	4.16236647509784e-06	5.128008571785113e-06
2512	4.586568948474336e-06	6.0171092208931305e-06
3162	5.068944928367897e-06	7.085750499448297e-06
3981	5.635115019743616e-06	8.37568860046173e-06
5012	6.350515985115052e-06	9.927377509291958e-06
6310	7.22538755556598e-06	1.1793512182075805e-05
7943	8.339129104567837e-06	1.400339628453317e-05
10000	9.74692570777133e-06	1.6599031856184904e-05
12589	1.156447012321986e-05	1.966198856427482e-05
15849	1.389152730042476e-05	2.315721856301827e-05
19953	1.688592310391085e-05	2.7094916318278834e-05
25119	2.0736971099097738e-05	3.146578725506003e-05
31623	2.5672673187750235e-05	3.60348890174917e-05
39811	3.186818118764422e-05	4.0530981148398346e-05
50119	3.9178474036960215e-05	4.450466248620059e-05
63096	4.712214940269721e-05	4.762237227817767e-05
79433	5.5530486937220436e-05	4.986831333908951e-05
100000	6.442449359241173e-05	5.207124973793747e-05
