frequency	Y_real	Y_imag
8	3.7853276781557723e-07	2.7958595755455785e-07
25	5.971877424564926e-07	4.937386448655816e-07
42	7.410453799661123e-07	6.296210207343984e-07
59	8.559262063506708e-07	7.430737655608493e-07
76	9.633852339868023e-07	8.415695327746525e-07
93	1.045486430561039e-06	9.204533334853426e-07
127	1.1978193094368427e-06	1.0866225356159164e-06
161	1.324463272369379e-06	1.2105262721215438e-06
246	1.5878792243392266e-06	1.4885899461086857e-06
314	1.7594471431578565e-06	1.701918100615101e-06
399	1.9466550780059002e-06	1.9357785534181503e-06
501	2.1324265513438267e-06	2.1695813701228053e-06
637	2.3489267229240022e-06	2.4962292323521087e-06
788	2.551939345126046e-06	2.827068303230142e-06
993	2.7943478751245907e-06	3.288102160851437e-06
1252	3.0904236144422744e-06	3.7986654150592285e-06
1585	3.419008841566643e-06	4.4349968261142495e-06
1995	3.7764885074122633e-06	5.184054168626692e-06
2512	4.20669059438147e-06	6.089939735435641e-06
3162	4.69423119695957e-06	7.20063331748966e-06
3981	5.288928838816848e-06	8.50131801115387e-06
5012	6.0250716407405446e-06	1.0093524675099543e-05
6310	6.917861983736742e-06	1.1954525472170314e-05
7943	8.062929905583205e-06	1.4198124057546706e-05
10000	9.513282418519494e-06	1.680829090270005e-05
12589	1.1368817602585903e-05	1.9882747545686086e-05
15849	1.3741429934178974e-05	2.338574353234071e-05
19953	1.6800025521424907e-05	2.7338620835283863e-05
25119	2.0725712540635597e-05	3.1694468122549715e-05
31623	2.570532395626058e-05	3.628527551147513e-05
39811	3.193613748007331e-05	4.0755044758133105e-05
50119	3.930851150427237e-05	4.466142090732792e-05
63096	4.728054747851579e-05	4.769063969520275e-05
79433	5.567909687019879e-05	4.997724462124522e-05
100000	6.44946561893152e-05	5.2031948473239995e-05
